regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;AC;19/03/2020;3;3;0;0
Norte;AC;20/03/2020;4;7;0;0
Norte;AC;21/03/2020;2;9;0;0
Norte;AC;22/03/2020;2;11;0;0
Norte;AC;23/03/2020;0;11;0;0
Norte;AC;24/03/2020;6;17;0;0
Norte;AC;25/03/2020;6;23;0;0
Norte;AC;26/03/2020;1;24;0;0
Norte;AC;27/03/2020;1;25;0;0
Norte;AC;28/03/2020;0;25;0;0
Norte;AC;29/03/2020;9;34;0;0
Norte;AC;30/03/2020;8;42;0;0
Norte;AC;31/03/2020;0;42;0;0
Norte;AC;01/04/2020;1;43;0;0
Norte;AC;02/04/2020;0;43;0;0
Norte;AC;03/04/2020;3;46;0;0
Norte;AC;04/04/2020;0;46;0;0
Norte;AC;05/04/2020;2;48;0;0
