regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;AL;08/03/2020;1;1;0;0
Nordeste;AL;09/03/2020;0;1;0;0
Nordeste;AL;10/03/2020;0;1;0;0
Nordeste;AL;11/03/2020;0;1;0;0
Nordeste;AL;12/03/2020;0;1;0;0
Nordeste;AL;13/03/2020;0;1;0;0
Nordeste;AL;14/03/2020;0;1;0;0
Nordeste;AL;15/03/2020;0;1;0;0
Nordeste;AL;16/03/2020;0;1;0;0
Nordeste;AL;17/03/2020;0;1;0;0
Nordeste;AL;18/03/2020;0;1;0;0
Nordeste;AL;19/03/2020;3;4;0;0
Nordeste;AL;20/03/2020;1;5;0;0
Nordeste;AL;21/03/2020;2;7;0;0
Nordeste;AL;22/03/2020;0;7;0;0
Nordeste;AL;23/03/2020;0;7;0;0
Nordeste;AL;24/03/2020;2;9;0;0
Nordeste;AL;25/03/2020;2;11;0;0
Nordeste;AL;26/03/2020;0;11;0;0
Nordeste;AL;27/03/2020;0;11;0;0
Nordeste;AL;28/03/2020;3;14;0;0
Nordeste;AL;29/03/2020;3;17;0;0
Nordeste;AL;30/03/2020;0;17;0;0
Nordeste;AL;31/03/2020;1;18;1;1
Nordeste;AL;01/04/2020;0;18;0;1
Nordeste;AL;02/04/2020;0;18;0;1
Nordeste;AL;03/04/2020;4;22;1;2
Nordeste;AL;04/04/2020;1;23;0;2
Nordeste;AL;05/04/2020;5;28;0;2
