regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;AM;15/03/2020;1;1;0;0
Norte;AM;16/03/2020;0;1;0;0
Norte;AM;17/03/2020;0;1;0;0
Norte;AM;18/03/2020;0;1;0;0
Norte;AM;19/03/2020;2;3;0;0
Norte;AM;20/03/2020;0;3;0;0
Norte;AM;21/03/2020;8;11;0;0
Norte;AM;22/03/2020;15;26;0;0
Norte;AM;23/03/2020;6;32;0;0
Norte;AM;24/03/2020;15;47;0;0
Norte;AM;25/03/2020;7;54;1;1
Norte;AM;26/03/2020;13;67;0;1
Norte;AM;27/03/2020;14;81;0;1
Norte;AM;28/03/2020;30;111;0;1
Norte;AM;29/03/2020;29;140;0;1
Norte;AM;30/03/2020;11;151;0;1
Norte;AM;31/03/2020;24;175;2;3
Norte;AM;01/04/2020;25;200;0;3
Norte;AM;02/04/2020;29;229;0;3
Norte;AM;03/04/2020;31;260;4;7
Norte;AM;04/04/2020;51;311;5;12
Norte;AM;05/04/2020;106;417;2;14
