regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;AP;20/03/2020;1;1;0;0
Norte;AP;21/03/2020;0;1;0;0
Norte;AP;22/03/2020;0;1;0;0
Norte;AP;23/03/2020;0;1;0;0
Norte;AP;24/03/2020;0;1;0;0
Norte;AP;25/03/2020;0;1;0;0
Norte;AP;26/03/2020;1;2;0;0
Norte;AP;27/03/2020;0;2;0;0
Norte;AP;28/03/2020;2;4;0;0
Norte;AP;29/03/2020;0;4;0;0
Norte;AP;30/03/2020;4;8;0;0
Norte;AP;31/03/2020;2;10;0;0
Norte;AP;01/04/2020;1;11;0;0
Norte;AP;02/04/2020;0;11;0;0
Norte;AP;03/04/2020;8;19;0;0
Norte;AP;04/04/2020;9;28;1;1
Norte;AP;05/04/2020;1;29;1;2
