regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Sudeste;ES;06/03/2020;1;1;0;0
Sudeste;ES;07/03/2020;0;1;0;0
Sudeste;ES;08/03/2020;0;1;0;0
Sudeste;ES;09/03/2020;0;1;0;0
Sudeste;ES;10/03/2020;0;1;0;0
Sudeste;ES;11/03/2020;0;1;0;0
Sudeste;ES;12/03/2020;0;1;0;0
Sudeste;ES;13/03/2020;0;1;0;0
Sudeste;ES;14/03/2020;0;1;0;0
Sudeste;ES;15/03/2020;0;1;0;0
Sudeste;ES;16/03/2020;0;1;0;0
Sudeste;ES;17/03/2020;0;1;0;0
Sudeste;ES;18/03/2020;8;9;0;0
Sudeste;ES;19/03/2020;2;11;0;0
Sudeste;ES;20/03/2020;2;13;0;0
Sudeste;ES;21/03/2020;13;26;0;0
Sudeste;ES;22/03/2020;0;26;0;0
Sudeste;ES;23/03/2020;3;29;0;0
Sudeste;ES;24/03/2020;4;33;0;0
Sudeste;ES;25/03/2020;6;39;0;0
Sudeste;ES;26/03/2020;0;39;0;0
Sudeste;ES;27/03/2020;8;47;0;0
Sudeste;ES;28/03/2020;6;53;0;0
Sudeste;ES;29/03/2020;7;60;0;0
Sudeste;ES;30/03/2020;12;72;0;0
Sudeste;ES;31/03/2020;12;84;0;0
Sudeste;ES;01/04/2020;12;96;0;0
Sudeste;ES;02/04/2020;24;120;1;1
Sudeste;ES;03/04/2020;19;139;3;4
Sudeste;ES;04/04/2020;14;153;1;5
Sudeste;ES;05/04/2020;13;166;1;6
