regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Sudeste;MG;08/03/2020;1;1;0;0
Sudeste;MG;09/03/2020;0;1;0;0
Sudeste;MG;10/03/2020;0;1;0;0
Sudeste;MG;11/03/2020;0;1;0;0
Sudeste;MG;12/03/2020;0;1;0;0
Sudeste;MG;13/03/2020;1;2;0;0
Sudeste;MG;14/03/2020;0;2;0;0
Sudeste;MG;15/03/2020;0;2;0;0
Sudeste;MG;16/03/2020;3;5;0;0
Sudeste;MG;17/03/2020;2;7;0;0
Sudeste;MG;18/03/2020;8;15;0;0
Sudeste;MG;19/03/2020;14;29;0;0
Sudeste;MG;20/03/2020;6;35;0;0
Sudeste;MG;21/03/2020;3;38;0;0
Sudeste;MG;22/03/2020;45;83;0;0
Sudeste;MG;23/03/2020;45;128;0;0
Sudeste;MG;24/03/2020;2;130;0;0
Sudeste;MG;25/03/2020;3;133;0;0
Sudeste;MG;26/03/2020;20;153;0;0
Sudeste;MG;27/03/2020;36;189;0;0
Sudeste;MG;28/03/2020;16;205;0;0
Sudeste;MG;29/03/2020;26;231;0;0
Sudeste;MG;30/03/2020;30;261;1;1
Sudeste;MG;31/03/2020;14;275;1;2
Sudeste;MG;01/04/2020;39;314;1;3
Sudeste;MG;02/04/2020;56;370;1;4
Sudeste;MG;03/04/2020;27;397;2;6
Sudeste;MG;04/04/2020;33;430;0;6
Sudeste;MG;05/04/2020;68;498;0;6
