regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Centro-Oeste;MT;20/03/2020;1;1;0;0
Centro-Oeste;MT;21/03/2020;1;2;0;0
Centro-Oeste;MT;22/03/2020;0;2;0;0
Centro-Oeste;MT;23/03/2020;0;2;0;0
Centro-Oeste;MT;24/03/2020;5;7;0;0
Centro-Oeste;MT;25/03/2020;1;8;0;0
Centro-Oeste;MT;26/03/2020;3;11;0;0
Centro-Oeste;MT;27/03/2020;0;11;0;0
Centro-Oeste;MT;28/03/2020;2;13;0;0
Centro-Oeste;MT;29/03/2020;3;16;0;0
Centro-Oeste;MT;30/03/2020;2;18;0;0
Centro-Oeste;MT;31/03/2020;7;25;0;0
Centro-Oeste;MT;01/04/2020;2;27;0;0
Centro-Oeste;MT;02/04/2020;9;36;0;0
Centro-Oeste;MT;03/04/2020;8;44;1;1
Centro-Oeste;MT;04/04/2020;12;56;0;1
Centro-Oeste;MT;05/04/2020;4;60;0;1
