regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;PA;19/03/2020;1;1;0;0
Norte;PA;20/03/2020;1;2;0;0
Norte;PA;21/03/2020;0;2;0;0
Norte;PA;22/03/2020;2;4;0;0
Norte;PA;23/03/2020;1;5;0;0
Norte;PA;24/03/2020;0;5;0;0
Norte;PA;25/03/2020;2;7;0;0
Norte;PA;26/03/2020;6;13;0;0
Norte;PA;27/03/2020;0;13;0;0
Norte;PA;28/03/2020;4;17;0;0
Norte;PA;29/03/2020;1;18;0;0
Norte;PA;30/03/2020;3;21;0;0
Norte;PA;31/03/2020;11;32;0;0
Norte;PA;01/04/2020;8;40;1;1
Norte;PA;02/04/2020;6;46;0;1
Norte;PA;03/04/2020;4;50;0;1
Norte;PA;04/04/2020;30;80;0;1
Norte;PA;05/04/2020;6;86;0;1
