regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;PE;12/03/2020;2;2;0;0
Nordeste;PE;13/03/2020;0;2;0;0
Nordeste;PE;14/03/2020;0;2;0;0
Nordeste;PE;15/03/2020;0;2;0;0
Nordeste;PE;16/03/2020;0;2;0;0
Nordeste;PE;17/03/2020;14;16;0;0
Nordeste;PE;18/03/2020;0;16;0;0
Nordeste;PE;19/03/2020;12;28;0;0
Nordeste;PE;20/03/2020;2;30;0;0
Nordeste;PE;21/03/2020;0;30;0;0
Nordeste;PE;22/03/2020;7;37;0;0
Nordeste;PE;23/03/2020;5;42;0;0
Nordeste;PE;24/03/2020;0;42;0;0
Nordeste;PE;25/03/2020;4;46;1;1
Nordeste;PE;26/03/2020;2;48;2;3
Nordeste;PE;27/03/2020;8;56;1;4
Nordeste;PE;28/03/2020;12;68;1;5
Nordeste;PE;29/03/2020;5;73;0;5
Nordeste;PE;30/03/2020;5;78;1;6
Nordeste;PE;31/03/2020;9;87;0;6
Nordeste;PE;01/04/2020;8;95;2;8
Nordeste;PE;02/04/2020;11;106;1;9
Nordeste;PE;03/04/2020;30;136;1;10
Nordeste;PE;04/04/2020;40;176;4;14
Nordeste;PE;05/04/2020;25;201;7;21
