regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;PI;20/03/2020;3;3;0;0
Nordeste;PI;21/03/2020;1;4;0;0
Nordeste;PI;22/03/2020;0;4;0;0
Nordeste;PI;23/03/2020;2;6;0;0
Nordeste;PI;24/03/2020;0;6;0;0
Nordeste;PI;25/03/2020;2;8;0;0
Nordeste;PI;26/03/2020;1;9;0;0
Nordeste;PI;27/03/2020;0;9;0;0
Nordeste;PI;28/03/2020;2;11;1;1
Nordeste;PI;29/03/2020;3;14;0;1
Nordeste;PI;30/03/2020;2;16;2;3
Nordeste;PI;31/03/2020;2;18;1;4
Nordeste;PI;01/04/2020;0;18;0;4
Nordeste;PI;02/04/2020;1;19;0;4
Nordeste;PI;03/04/2020;2;21;0;4
Nordeste;PI;04/04/2020;1;22;0;4
Nordeste;PI;05/04/2020;1;23;0;4
