regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Sul;PR;12/03/2020;6;6;0;0
Sul;PR;13/03/2020;0;6;0;0
Sul;PR;14/03/2020;0;6;0;0
Sul;PR;15/03/2020;0;6;0;0
Sul;PR;16/03/2020;0;6;0;0
Sul;PR;17/03/2020;0;6;0;0
Sul;PR;18/03/2020;7;13;0;0
Sul;PR;19/03/2020;10;23;0;0
Sul;PR;20/03/2020;9;32;0;0
Sul;PR;21/03/2020;11;43;0;0
Sul;PR;22/03/2020;7;50;0;0
Sul;PR;23/03/2020;6;56;0;0
Sul;PR;24/03/2020;9;65;0;0
Sul;PR;25/03/2020;16;81;0;0
Sul;PR;26/03/2020;21;102;0;0
Sul;PR;27/03/2020;17;119;2;2
Sul;PR;28/03/2020;14;133;0;2
Sul;PR;29/03/2020;15;148;0;2
Sul;PR;30/03/2020;7;155;1;3
Sul;PR;31/03/2020;24;179;0;3
Sul;PR;01/04/2020;45;224;0;3
Sul;PR;02/04/2020;28;252;1;4
Sul;PR;03/04/2020;49;301;0;4
Sul;PR;04/04/2020;94;395;2;6
Sul;PR;05/04/2020;43;438;3;9
