regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Sudeste;RJ;05/03/2020;1;1;0;0
Sudeste;RJ;06/03/2020;0;1;0;0
Sudeste;RJ;07/03/2020;1;2;0;0
Sudeste;RJ;08/03/2020;1;3;0;0
Sudeste;RJ;09/03/2020;0;3;0;0
Sudeste;RJ;10/03/2020;5;8;0;0
Sudeste;RJ;11/03/2020;5;13;0;0
Sudeste;RJ;12/03/2020;3;16;0;0
Sudeste;RJ;13/03/2020;0;16;0;0
Sudeste;RJ;14/03/2020;6;22;0;0
Sudeste;RJ;15/03/2020;2;24;0;0
Sudeste;RJ;16/03/2020;7;31;0;0
Sudeste;RJ;17/03/2020;2;33;0;0
Sudeste;RJ;18/03/2020;12;45;0;0
Sudeste;RJ;19/03/2020;20;65;2;2
Sudeste;RJ;20/03/2020;44;109;0;2
Sudeste;RJ;21/03/2020;10;119;1;3
Sudeste;RJ;22/03/2020;67;186;0;3
Sudeste;RJ;23/03/2020;47;233;1;4
Sudeste;RJ;24/03/2020;72;305;2;6
Sudeste;RJ;25/03/2020;65;370;0;6
Sudeste;RJ;26/03/2020;51;421;3;9
Sudeste;RJ;27/03/2020;72;493;1;10
Sudeste;RJ;28/03/2020;65;558;3;13
Sudeste;RJ;29/03/2020;42;600;4;17
Sudeste;RJ;30/03/2020;57;657;1;18
Sudeste;RJ;31/03/2020;51;708;5;23
Sudeste;RJ;01/04/2020;124;832;5;28
Sudeste;RJ;02/04/2020;160;992;13;41
Sudeste;RJ;03/04/2020;82;1074;6;47
Sudeste;RJ;04/04/2020;172;1246;11;58
Sudeste;RJ;05/04/2020;148;1394;6;64
