regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Sul;RS;10/03/2020;1;1;0;0
Sul;RS;11/03/2020;1;2;0;0
Sul;RS;12/03/2020;2;4;0;0
Sul;RS;13/03/2020;0;4;0;0
Sul;RS;14/03/2020;2;6;0;0
Sul;RS;15/03/2020;0;6;0;0
Sul;RS;16/03/2020;0;6;0;0
Sul;RS;17/03/2020;4;10;0;0
Sul;RS;18/03/2020;9;19;0;0
Sul;RS;19/03/2020;9;28;0;0
Sul;RS;20/03/2020;9;37;0;0
Sul;RS;21/03/2020;23;60;0;0
Sul;RS;22/03/2020;12;72;0;0
Sul;RS;23/03/2020;14;86;0;0
Sul;RS;24/03/2020;12;98;0;0
Sul;RS;25/03/2020;25;123;1;1
Sul;RS;26/03/2020;45;168;0;1
Sul;RS;27/03/2020;27;195;1;2
Sul;RS;28/03/2020;2;197;0;2
Sul;RS;29/03/2020;29;226;0;2
Sul;RS;30/03/2020;15;241;1;3
Sul;RS;31/03/2020;33;274;1;4
Sul;RS;01/04/2020;32;306;0;4
Sul;RS;02/04/2020;28;334;1;5
Sul;RS;03/04/2020;62;396;0;5
Sul;RS;04/04/2020;14;410;1;6
Sul;RS;05/04/2020;8;418;1;7
