regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Sul;SC;13/03/2020;2;2;0;0
Sul;SC;14/03/2020;2;4;0;0
Sul;SC;15/03/2020;2;6;0;0
Sul;SC;16/03/2020;1;7;0;0
Sul;SC;17/03/2020;0;7;0;0
Sul;SC;18/03/2020;3;10;0;0
Sul;SC;19/03/2020;10;20;0;0
Sul;SC;20/03/2020;1;21;0;0
Sul;SC;21/03/2020;30;51;0;0
Sul;SC;22/03/2020;6;57;0;0
Sul;SC;23/03/2020;11;68;0;0
Sul;SC;24/03/2020;39;107;0;0
Sul;SC;25/03/2020;2;109;0;0
Sul;SC;26/03/2020;13;122;1;1
Sul;SC;27/03/2020;27;149;0;1
Sul;SC;28/03/2020;35;184;0;1
Sul;SC;29/03/2020;10;194;0;1
Sul;SC;30/03/2020;3;197;0;1
Sul;SC;31/03/2020;22;219;1;2
Sul;SC;01/04/2020;16;235;0;2
Sul;SC;02/04/2020;12;247;0;2
Sul;SC;03/04/2020;34;281;3;5
Sul;SC;04/04/2020;53;334;0;5
Sul;SC;05/04/2020;23;357;5;10
