regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;AL;2020-03-08;1;1;0;0
Nordeste;AL;2020-03-09;0;1;0;0
Nordeste;AL;2020-03-10;0;1;0;0
Nordeste;AL;2020-03-11;0;1;0;0
Nordeste;AL;2020-03-12;0;1;0;0
Nordeste;AL;2020-03-13;0;1;0;0
Nordeste;AL;2020-03-14;0;1;0;0
Nordeste;AL;2020-03-15;0;1;0;0
Nordeste;AL;2020-03-16;0;1;0;0
Nordeste;AL;2020-03-17;0;1;0;0
Nordeste;AL;2020-03-18;0;1;0;0
Nordeste;AL;2020-03-19;3;4;0;0
Nordeste;AL;2020-03-20;1;5;0;0
Nordeste;AL;2020-03-21;2;7;0;0
Nordeste;AL;2020-03-22;0;7;0;0
Nordeste;AL;2020-03-23;0;7;0;0
Nordeste;AL;2020-03-24;2;9;0;0
Nordeste;AL;2020-03-25;2;11;0;0
Nordeste;AL;2020-03-26;0;11;0;0
Nordeste;AL;2020-03-27;0;11;0;0
Nordeste;AL;2020-03-28;3;14;0;0
Nordeste;AL;2020-03-29;3;17;0;0
Nordeste;AL;2020-03-30;0;17;0;0
Nordeste;AL;2020-03-31;1;18;1;1
Nordeste;AL;2020-04-01;0;18;0;1
Nordeste;AL;2020-04-02;0;18;0;1
Nordeste;AL;2020-04-03;4;22;1;2
Nordeste;AL;2020-04-04;1;23;0;2
Nordeste;AL;2020-04-05;5;28;0;2
Nordeste;AL;2020-04-06;3;31;0;2
Nordeste;AL;2020-04-07;1;32;0;2
Nordeste;AL;2020-04-08;5;37;0;2
Nordeste;AL;2020-04-09;0;37;1;3
Nordeste;AL;2020-04-10;8;45;0;3
Nordeste;AL;2020-04-11;3;48;0;3
Nordeste;AL;2020-04-12;0;48;0;3
Nordeste;AL;2020-04-13;2;50;0;3
Nordeste;AL;2020-04-14;22;72;1;4
Nordeste;AL;2020-04-15;10;82;1;5
Nordeste;AL;2020-04-16;7;89;0;5
Nordeste;AL;2020-04-17;21;110;2;7
