regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;CE;2020-03-17;5;5;0;0
Nordeste;CE;2020-03-18;4;9;0;0
Nordeste;CE;2020-03-19;11;20;0;0
Nordeste;CE;2020-03-20;35;55;0;0
Nordeste;CE;2020-03-21;13;68;0;0
Nordeste;CE;2020-03-22;44;112;0;0
Nordeste;CE;2020-03-23;51;163;0;0
Nordeste;CE;2020-03-24;19;182;0;0
Nordeste;CE;2020-03-25;18;200;0;0
Nordeste;CE;2020-03-26;35;235;3;3
Nordeste;CE;2020-03-27;47;282;0;3
Nordeste;CE;2020-03-28;32;314;1;4
Nordeste;CE;2020-03-29;34;348;1;5
Nordeste;CE;2020-03-30;24;372;0;5
Nordeste;CE;2020-03-31;18;390;2;7
Nordeste;CE;2020-04-01;54;444;1;8
Nordeste;CE;2020-04-02;106;550;12;20
Nordeste;CE;2020-04-03;77;627;2;22
Nordeste;CE;2020-04-04;103;730;0;22
Nordeste;CE;2020-04-05;93;823;4;26
Nordeste;CE;2020-04-06;190;1013;3;29
Nordeste;CE;2020-04-07;38;1051;2;31
Nordeste;CE;2020-04-08;240;1291;12;43
Nordeste;CE;2020-04-09;134;1425;12;55
Nordeste;CE;2020-04-10;53;1478;3;58
Nordeste;CE;2020-04-11;104;1582;9;67
Nordeste;CE;2020-04-12;94;1676;7;74
Nordeste;CE;2020-04-13;124;1800;17;91
Nordeste;CE;2020-04-14;205;2005;16;107
Nordeste;CE;2020-04-15;152;2157;9;116
Nordeste;CE;2020-04-16;229;2386;8;124
Nordeste;CE;2020-04-17;298;2684;25;149
