regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;PA;2020-03-19;1;1;0;0
Norte;PA;2020-03-20;1;2;0;0
Norte;PA;2020-03-21;0;2;0;0
Norte;PA;2020-03-22;2;4;0;0
Norte;PA;2020-03-23;1;5;0;0
Norte;PA;2020-03-24;0;5;0;0
Norte;PA;2020-03-25;2;7;0;0
Norte;PA;2020-03-26;6;13;0;0
Norte;PA;2020-03-27;0;13;0;0
Norte;PA;2020-03-28;4;17;0;0
Norte;PA;2020-03-29;1;18;0;0
Norte;PA;2020-03-30;3;21;0;0
Norte;PA;2020-03-31;11;32;0;0
Norte;PA;2020-04-01;8;40;1;1
Norte;PA;2020-04-02;6;46;0;1
Norte;PA;2020-04-03;4;50;0;1
Norte;PA;2020-04-04;30;80;0;1
Norte;PA;2020-04-05;6;86;0;1
Norte;PA;2020-04-06;16;102;2;3
Norte;PA;2020-04-07;36;138;2;5
Norte;PA;2020-04-08;29;167;1;6
Norte;PA;2020-04-09;1;168;1;7
Norte;PA;2020-04-10;2;170;2;9
Norte;PA;2020-04-11;47;217;1;10
Norte;PA;2020-04-12;29;246;3;13
Norte;PA;2020-04-13;24;270;2;15
Norte;PA;2020-04-14;53;323;4;19
Norte;PA;2020-04-15;61;384;2;21
Norte;PA;2020-04-16;54;438;3;24
Norte;PA;2020-04-17;119;557;2;26
