regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;TO;2020-03-19;1;1;0;0
Norte;TO;2020-03-20;0;1;0;0
Norte;TO;2020-03-21;1;2;0;0
Norte;TO;2020-03-22;0;2;0;0
Norte;TO;2020-03-23;3;5;0;0
Norte;TO;2020-03-24;2;7;0;0
Norte;TO;2020-03-25;0;7;0;0
Norte;TO;2020-03-26;0;7;0;0
Norte;TO;2020-03-27;1;8;0;0
Norte;TO;2020-03-28;1;9;0;0
Norte;TO;2020-03-29;0;9;0;0
Norte;TO;2020-03-30;1;10;0;0
Norte;TO;2020-03-31;1;11;0;0
Norte;TO;2020-04-01;1;12;0;0
Norte;TO;2020-04-02;0;12;0;0
Norte;TO;2020-04-03;0;12;0;0
Norte;TO;2020-04-04;2;14;0;0
Norte;TO;2020-04-05;3;17;0;0
Norte;TO;2020-04-06;0;17;0;0
Norte;TO;2020-04-07;2;19;0;0
Norte;TO;2020-04-08;4;23;0;0
Norte;TO;2020-04-09;0;23;0;0
Norte;TO;2020-04-10;0;23;0;0
Norte;TO;2020-04-11;0;23;0;0
Norte;TO;2020-04-12;2;25;0;0
Norte;TO;2020-04-13;1;26;0;0
Norte;TO;2020-04-14;0;26;0;0
Norte;TO;2020-04-15;0;26;1;1
Norte;TO;2020-04-16;3;29;0;1
Norte;TO;2020-04-17;2;31;0;1
