;Cases;date
0;1.0;2020-03-08
1;1.1298924866152504;2020-03-09
2;1.2761359463244415;2020-03-10
3;1.4407235212580247;2020-03-11
4;1.6258833950107205;2020-03-12
5;1.8341056741080564;2020-03-13
6;2.068172068427172;2020-03-14
7;2.3311889722422556;2020-03-15
8;2.6266238645143423;2020-03-16
9;2.9583464101314907;2020-03-17
10;3.3306729902088614;2020-03-18
11;3.748416870069509;2020-03-19
12;4.216943417188544;2020-03-20
13;4.742231326667634;2020-03-21
14;5.330940422512307;2020-03-22
15;5.990486649976676;2020-03-23
16;6.729125065146066;2020-03-24
17;7.556041718293381;2020-03-25
18;8.481455093860506;2020-03-26
19;9.516728273190775;2020-03-27
20;10.674492953244686;2020-03-28
21;11.968786370710076;2020-03-29
22;13.41520250991874;2020-03-30
23;15.031059034641917;2020-03-31
24;16.83558152828891;2020-04-01
25;18.85010672707413;2020-04-02
26;21.098306607296923;2020-04-03
27;23.60643562067715;2020-04-04
28;26.40360312185494;2020-04-05
29;29.52207341149226;2020-04-06
30;32.99759653953625;2020-04-07
31;36.86977240535401;2020-04-08
32;41.18245153042848;2020-04-09
33;45.98417649618269;2020-04-10
34;51.32866725681727;2020-04-11
35;57.275355059449254;2020-04-12
36;63.88996991513256;2020-04-13
37;71.24518585460027;2020-04-14
38;79.4213304019374;2020-04-15
39;88.50716429216698;2020-04-16
40;98.6007372592074;2020-04-17
41;109.8103283843433;2020-04-18
42;122.25547830310529;2020-04-19
43;136.06812142340556;2020-04-20
44;151.39382914714628;2020-04-21
45;168.39317289141292;2020-04-22
46;187.2432184376378;2020-04-23
47;208.13916540422855;2020-04-24
48;231.29614278769267;2020-04-25
49;256.95117658039186;2020-04-26
50;285.3653463342689;2020-04-27
51;316.8261450054776;2020-04-28
52;351.6500635658277;2020-04-29
53;390.1854208150415;2020-04-30
54;432.8154577770802;2020-05-01
55;479.96172481267183;2020-05-02
56;532.0877860309168;2020-05-03
57;589.7032676849656;2020-05-04
58;653.3682866889044;2020-05-05
59;723.698288679622;2020-05-06
60;801.369333409737;2020-05-07
61;887.1238701455529;2020-05-08
62;981.7770416997876;2020-05-09
63;1086.2235708567698;2020-05-10
64;1201.4452769954303;2020-05-11
65;1328.5192695538203;2020-05-12
66;1468.626905073772;2020-05-13
67;1623.0635340842773;2020-05-14
68;1793.2491518493662;2020-05-15
69;1980.739994637827;2020-05-16
70;2187.241181057672;2020-05-17
71;2414.6205005635015;2020-05-18
72;2664.9234074267033;2020-05-19
73;2940.3893879782477;2020-05-20
74;3243.469745417057;2020-05-21
75;3576.8469875175206;2020-05-22
76;3943.4559187348723;2020-05-23
77;4346.506573874262;2020-05-24
78;4789.509200638343;2020-05-25
79;5276.30137024288;2020-05-26
80;5811.077503637429;2020-05-27
81;6398.420900044433;2020-05-28
82;7043.338540137986;2020-05-29
83;7751.298850279225;2020-05-30
84;8528.27260989666;2020-05-31
85;9380.777269757717;2020-06-01
86;10315.924775139527;2020-06-02
87;11341.473154825455;2020-06-03
88;12465.881853798446;2020-06-04
