;Cases;date
0;1.0;2020-03-15
1;1.6316161232087791;2020-03-16
2;2.5622454575611813;2020-03-17
3;3.894196785663733;2020-03-18
4;5.753474393292842;2020-03-19
5;8.293031786970145;2020-03-20
6;11.696206309362355;2020-03-21
7;16.180335511367023;2020-03-22
8;22.000547626789686;2020-03-23
9;29.453727854569106;2020-03-24
10;38.882657163511944;2020-03-25
11;50.68032095948568;2020-03-26
12;65.29438636398488;2020-03-27
13;83.23184600073895;2020-03-28
14;105.06382674917094;2020-03-29
15;131.43056166321398;2020-03-30
16;163.0465234354204;2020-03-31
17;200.70571769993356;2020-04-01
18;245.2871342673954;2020-04-02
19;297.76035383295584;2020-04-03
20;359.19130735444054;2020-04-04
21;430.7481836630341;2020-04-05
22;513.7074787039026;2020-04-06
23;609.4601762225763;2020-04-07
24;719.518042722165;2020-04-08
25;845.520012659418;2020-04-09
26;989.2386219777402;2020-04-10
27;1152.5864278129889;2020-04-11
28;1337.6222930743374;2020-04-12
29;1546.5574221440675;2020-04-13
30;1781.7608251222237;2020-04-14
31;2045.7639517955156;2020-04-15
32;2341.2638557833634;2020-04-16
33;2671.1241052750033;2020-04-17
34;3038.372266074351;2020-04-18
35;3446.192172140555;2020-04-19
36;3897.908569615746;2020-04-20
37;4396.9606583047635;2020-04-21
38;4946.859670654827;2020-04-22
39;5551.124006278128;2020-04-23
40;6213.1833069077475;2020-04-24
41;6936.240579291116;2020-04-25
42;7723.0790864801165;2020-04-26
43;8575.799277487784;2020-04-27
44;9495.471816462523;2020-04-28
45;10481.697601380418;2020-04-29
46;11532.075991006663;2020-04-30
47;12641.611307726364;2020-05-01
48;13802.114276215369;2020-05-02
49;15001.713644802356;2020-05-03
50;16224.635726124574;2020-05-04
51;17451.4416242816;2020-05-05
52;18659.884338765074;2020-05-06
53;19826.43728655293;2020-05-07
54;20928.35587458331;2020-05-08
55;21945.917915943493;2020-05-09
56;22864.361078294227;2020-05-10
57;23675.067509346914;2020-05-11
58;24375.76763281849;2020-05-12
59;24969.823555087685;2020-05-13
60;25464.897488941107;2020-05-14
61;25871.383934061472;2020-05-15
62;26200.943381414847;2020-05-16
63;26465.33696679949;2020-05-17
64;26675.628314845148;2020-05-18
65;26841.724928866923;2020-05-19
66;26972.1836267467;2020-05-20
67;27074.19740998165;2020-05-21
68;27153.68977800155;2020-05-22
69;27215.463028820064;2020-05-23
70;27263.363927420527;2020-05-24
71;27300.445991269775;2020-05-25
72;27329.115574359927;2020-05-26
73;27351.258886518324;2020-05-27
74;27368.348296337597;2020-05-28
75;27381.52937141195;2020-05-29
76;27391.691241927667;2020-05-30
77;27399.52267860443;2020-05-31
78;27405.556462622942;2020-06-01
79;27410.204240286213;2020-06-02
80;27413.78379419084;2020-06-03
81;27416.540257401535;2020-06-04
82;27418.662760294683;2020-06-05
83;27420.296949708365;2020-06-06
84;27421.55509489924;2020-06-07
85;27422.52369496504;2020-06-08
86;27423.269350275266;2020-06-09
87;27423.84329926385;2020-06-10
88;27424.28519741939;2020-06-11
89;27424.625384693027;2020-06-12
90;27424.88723597362;2020-06-13
91;27425.088781311133;2020-06-14
92;27425.243942620884;2020-06-15
93;27425.363378502243;2020-06-16
94;27425.455306881515;2020-06-17
95;27425.526064698628;2020-06-18
96;27425.580535189893;2020-06-19
97;27425.622463462354;2020-06-20
98;27425.654733391486;2020-06-21
99;27425.6795668672;2020-06-22
100;27425.698710649078;2020-06-23
101;27425.713452166885;2020-06-24
102;27425.72477992429;2020-06-25
103;27425.733480407558;2020-06-26
