;Cases;date
0;1.0;2020-03-20
1;1.2564146290649731;2020-03-21
2;1.5748853851651319;2020-03-22
3;1.9695570038693342;2020-03-23
4;2.457603573942479;2020-03-24
5;3.0598363053624764;2020-03-25
6;3.8014258633680185;2020-03-26
7;4.712757851226773;2020-03-27
8;5.8304459460878935;2020-03-28
9;7.198528550842019;2020-03-29
10;8.869880720726888;2020-03-30
11;10.907876696203548;2020-03-31
12;13.388345159882364;2020-04-01
13;16.401864874166307;2020-04-02
14;20.056456077046672;2020-04-03
15;24.480730926899483;2020-04-04
16;29.82757653360488;2020-04-05
17;36.278453967995304;2020-04-06
18;44.04840950950617;2020-04-07
19;53.39190819702137;2020-04-08
20;64.60961538448016;2020-04-09
21;78.056270045617;2020-04-10
22;94.14981369696696;2020-04-11
23;113.38196170973613;2020-04-12
24;136.33042958909024;2020-04-13
25;163.67305589549701;2020-04-14
26;196.20409630275682;2020-04-15
27;234.85300068608905;2020-04-16
28;280.70602349848184;2020-04-17
29;335.031072600723;2020-04-18
30;399.30624220961096;2020-04-19
31;475.252543976849;2020-04-20
32;564.8714121495306;2020-04-21
33;670.487631564614;2020-04-22
34;794.7984215377367;2020-04-23
35;940.9294992229077;2020-04-24
36;1112.4990489117924;2020-04-25
37;1313.6906383716505;2020-04-26
38;1549.3362505214948;2020-04-27
39;1825.0107407284538;2020-04-28
40;2147.1391879550624;2020-04-29
41;2523.1187843636535;2020-04-30
42;2961.4571015912625;2020-05-01
43;3471.928776098942;2020-05-02
44;4065.7529454331825;2020-05-03
45;4755.793947231382;2020-05-04
46;5556.788173063811;2020-05-05
47;6485.6002424506805;2020-05-06
48;7561.512037364642;2020-05-07
49;8806.548541222151;2020-05-08
50;10245.844860298334;2020-05-09
51;11908.059288218767;2020-05-10
52;13825.837811286643;2020-05-11
53;16036.33605397744;2020-05-12
54;18581.80527685591;2020-05-13
55;21510.249793024865;2020-05-14
56;24876.163934203556;2020-05-15
57;28741.35756301848;2020-05-16
58;33175.88013043564;2020-05-17
59;38259.05395530088;2020-05-18
60;44080.62956740855;2020-05-19
61;50742.075631071675;2020-05-20
62;58358.01869310067;2020-05-21
63;67057.84890730103;2020-05-22
64;76987.50978779765;2020-05-23
65;88311.49121920607;2020-05-24
66;101215.04772117182;2020-05-25
67;115906.66554273378;2020-05-26
68;132620.80465614542;2020-05-27
69;151620.9424664403;2020-05-28
70;173202.9460773021;2020-05-29
71;197698.7898482675;2020-05-30
72;225480.5993678995;2020-05-31
73;256964.8036183116;2020-06-01
74;292615.61539028777;2020-06-02
75;332944.8122742726;2020-06-03
76;378497.0078952028;2020-06-04
77;429782.60856725305;2020-06-05
78;487032.272189847;2020-06-06
79;549400.827915744;2020-06-07
80;612922.1588406926;2020-06-08
81;668075.0703735646;2020-06-09
82;704329.9656182146;2020-06-10
83;721734.4915093001;2020-06-11
84;728422.3275612016;2020-06-12
85;730730.8012083984;2020-06-13
86;731495.6562593828;2020-06-14
87;731745.5251599551;2020-06-15
88;731826.7751030069;2020-06-16
89;731853.1547816419;2020-06-17
90;731861.7157155467;2020-06-18
91;731864.4931257464;2020-06-19
92;731865.3945399491;2020-06-20
93;731865.686307626;2020-06-21
94;731865.7813044026;2020-06-22
95;731865.812797632;2020-06-23
96;731865.8222846846;2020-06-24
97;731865.825441332;2020-06-25
98;731865.8265313542;2020-06-26
99;731865.8271665273;2020-06-27
100;731865.8274285516;2020-06-28
101;731865.827360221;2020-06-29
102;731865.8273934305;2020-06-30
103;731865.8273081576;2020-07-01
104;731865.827230428;2020-07-02
105;731865.8271779724;2020-07-03
106;731865.8271277394;2020-07-04
107;731865.8271260018;2020-07-05
108;731865.8271242641;2020-07-06
109;731865.8271225265;2020-07-07
110;731865.8271207889;2020-07-08
111;731865.8271190511;2020-07-09
112;731865.8271173135;2020-07-10
113;731865.8271155758;2020-07-11
114;731865.8271138382;2020-07-12
115;731865.8271121004;2020-07-13
116;731865.8271103628;2020-07-14
117;731865.8271086252;2020-07-15
118;731865.8271068875;2020-07-16
119;731865.8271051499;2020-07-17
120;731865.8271034121;2020-07-18
121;731865.8271016745;2020-07-19
122;731865.8270999368;2020-07-20
123;731865.8270981992;2020-07-21
124;731865.8270964616;2020-07-22
125;731865.8270947238;2020-07-23
126;731865.8270929862;2020-07-24
127;731865.8270912485;2020-07-25
128;731865.8270895109;2020-07-26
129;731865.8270877731;2020-07-27
130;731865.8270860355;2020-07-28
131;731865.8270842978;2020-07-29
132;731865.8270827535;2020-07-30
133;731865.827082696;2020-07-31
134;731865.8270826384;2020-08-01
135;731865.8270825809;2020-08-02
136;731865.8270825234;2020-08-03
137;731865.8270824658;2020-08-04
138;731865.8270824082;2020-08-05
139;731865.8270823506;2020-08-06
140;731865.8270822931;2020-08-07
141;731865.8270822355;2020-08-08
142;731865.827082178;2020-08-09
143;731865.8270821203;2020-08-10
144;731865.8270820628;2020-08-11
145;731865.8270820053;2020-08-12
146;731865.8270819477;2020-08-13
147;731865.8270818902;2020-08-14
148;731865.8270818326;2020-08-15
149;731865.8270817751;2020-08-16
150;731865.8270817174;2020-08-17
151;731865.8270816599;2020-08-18
152;731865.8270816023;2020-08-19
153;731865.8270815448;2020-08-20
154;731865.8270814873;2020-08-21
155;731865.8270814297;2020-08-22
156;731865.8270813721;2020-08-23
157;731865.8270813145;2020-08-24
158;731865.8270812677;2020-08-25
159;731865.8270812675;2020-08-26
160;731865.8270812673;2020-08-27
161;731865.8270812671;2020-08-28
162;731865.8270812669;2020-08-29
163;731865.8270812667;2020-08-30
164;731865.8270812666;2020-08-31
165;731865.8270812663;2020-09-01
166;731865.8270812661;2020-09-02
167;731865.827081266;2020-09-03
168;731865.8270812657;2020-09-04
169;731865.8270812655;2020-09-05
