;Cases;date
0;1.0;2020-03-06
1;1.5636902686991032;2020-03-07
2;2.3316384948396913;2020-03-08
3;3.3458104872692713;2020-03-09
4;4.651526034152979;2020-03-10
5;6.297382926572284;2020-03-11
6;8.335189067205786;2020-03-12
7;10.81990146297207;2020-03-13
8;13.80957068670617;2020-03-14
9;17.36529021472814;2020-03-15
10;21.551149485369105;2020-03-16
11;26.434191239357443;2020-03-17
12;32.084370963796474;2020-03-18
13;38.574519527174594;2020-03-19
14;45.98030824427025;2020-03-20
15;54.380215865796906;2020-03-21
16;63.85549753203418;2020-03-22
17;74.49015545781802;2020-03-23
18;86.37091116608146;2020-03-24
19;99.58717906471104;2020-03-25
20;114.23104130839087;2020-03-26
21;130.39722393925896;2020-03-27
22;148.18307398945524;2020-03-28
23;167.6885376054445;2020-03-29
24;189.01613914248472;2020-03-30
25;212.270961030404;2020-03-31
26;237.5606244732574;2020-04-01
27;264.99527084975915;2020-04-02
28;294.68754386437064;2020-04-03
29;326.75257250101373;2020-04-04
30;361.30795383964755;2020-04-05
31;398.4737376284232;2020-04-06
32;438.3724101564424;2020-04-07
33;481.12887963494677;2020-04-08
34;526.8704613631601;2020-04-09
35;575.7268637007647;2020-04-10
36;627.8301743950416;2020-04-11
37;683.3148470921151;2020-04-12
38;742.3176886717561;2020-04-13
39;804.9778463640608;2020-04-14
40;871.4367958278806;2020-04-15
41;941.8383289678155;2020-04-16
42;1016.3285425484221;2020-04-17
43;1095.0558266173603;2020-04-18
44;1178.1708537841132;2020-04-19
45;1265.826568745437;2020-04-20
46;1358.178177135033;2020-04-21
47;1455.383135162767;2020-04-22
48;1557.6011405600514;2020-04-23
49;1664.9941223206424;2020-04-24
50;1777.7262304028563;2020-04-25
51;1895.963827502317;2020-04-26
52;2019.875479659137;2020-04-27
53;2149.6319465567362;2020-04-28
54;2285.4061734907314;2020-04-29
55;2427.3732828482857;2020-04-30
56;2575.710565092833;2020-05-01
57;2730.597470768971;2020-05-02
58;2892.2156027546794;2020-05-03
59;3060.748707978853;2020-05-04
60;3236.38266942927;2020-05-05
61;3419.305499056533;2020-05-06
62;3609.7073300692505;2020-05-07
63;3807.7804091792796;2020-05-08
64;4013.7190898822955;2020-05-09
65;4227.719825259242;2020-05-10
66;4449.981160390087;2020-05-11
67;4680.703726212415;2020-05-12
68;4920.090232867018;2020-05-13
69;5168.345463101232;2020-05-14
70;5425.676265460221;2020-05-15
71;5692.29154617474;2020-05-16
72;5968.4022653217435;2020-05-17
73;6254.221430092;2020-05-18
74;6549.964088657029;2020-05-19
75;6855.84732351666;2020-05-20
76;7172.090244658942;2020-05-21
77;7498.913985776545;2020-05-22
78;7836.5416978333615;2020-05-23
79;8185.198543470926;2020-05-24
80;8545.111690508242;2020-05-25
81;8916.510306567649;2020-05-26
82;9299.625554713208;2020-05-27
83;9694.690587658994;2020-05-28
84;10101.94054253995;2020-05-29
85;10521.612534638158;2020-05-30
86;10953.945653084917;2020-05-31
87;11399.18095613298;2020-06-01
88;11857.561465930617;2020-06-02
