;Cases;date
0;1.0;2020-02-26
1;1.7285756295802153;2020-02-27
2;2.854085253785854;2020-02-28
3;4.533304256404236;2020-02-29
4;6.965431457356752;2020-03-01
5;10.399123974467063;2020-03-02
6;15.140070031441;2020-03-03
7;21.559098635985993;2020-03-04
8;30.100826662063426;2020-03-05
9;41.292842102646034;2020-03-06
10;55.75542387487448;2020-03-07
11;74.21179759414372;2020-03-08
12;97.498927068592;2020-03-09
13;126.57884127420914;2020-03-10
14;162.5504965600937;2020-03-11
15;206.66217384683824;2020-03-12
16;260.32441058424286;2020-03-13
17;325.12346725830685;2020-03-14
18;402.8353282403249;2020-03-15
19;495.4402367722961;2020-03-16
20;605.1377639007508;2020-03-17
21;734.3624111624679;2020-03-18
22;885.7997468899273;2020-03-19
23;1062.403075864267;2020-03-20
24;1267.410642256145;2020-03-21
25;1504.3633656339248;2020-03-22
26;1777.123109895332;2020-03-23
27;2089.8914849627863;2020-03-24
28;2447.2291811033115;2020-03-25
29;2854.075835729198;2020-03-26
30;3315.7704325084883;2020-03-27
31;3838.0722328256884;2020-03-28
32;4427.182239006964;2020-03-29
33;5089.76518980176;2020-03-30
34;5832.972087508032;2020-03-31
35;6664.4632567814715;2020-04-01
36;7592.431935156101;2020-04-02
37;8625.628394824895;2020-04-03
38;9773.384595887004;2020-04-04
39;11045.639370839659;2020-04-05
40;12452.964140031121;2020-04-06
41;14006.589158221763;2020-04-07
42;15718.430292307483;2020-04-08
43;17601.116329286968;2020-04-09
44;19668.01681532546;2020-04-10
45;21933.270425345698;2020-04-11
46;24411.813863039766;2020-04-12
47;27119.411291439865;2020-04-13
48;30072.68429358599;2020-04-14
49;33289.142363691404;2020-04-15
50;36787.213928064186;2020-04-16
51;40586.2778965454;2020-04-17
52;44706.69574336495;2020-04-18
53;49169.844118455716;2020-04-19
54;53998.14798789561;2020-04-20
55;59215.11430460884;2020-04-21
56;64845.36620821494;2020-04-22
57;70914.67775593183;2020-04-23
58;77450.00917950632;2020-04-24
59;84479.54267517303;2020-04-25
60;92032.71872179197;2020-04-26
61;100140.27292591939;2020-04-27
62;108834.27340043295;2020-04-28
63;118148.15866817135;2020-04-29
64;128116.77609632087;2020-04-30
65;138776.4208610023;2020-05-01
66;150164.8754371138;2020-05-02
67;162321.44962106692;2020-05-03
68;175287.021079958;2020-05-04
