;Cases;date
0;5.0;2020-03-17
1;11.558504297149284;2020-03-18
2;21.3049293933931;2020-03-19
3;34.49135695073422;2020-03-20
4;51.32958561916887;2020-03-21
5;72.003842851227;2020-03-22
6;96.67810014211548;2020-03-23
7;125.50071551863873;2020-03-24
8;158.60758391924074;2020-03-25
9;196.12438702431183;2020-03-26
10;238.16825871955137;2020-03-27
11;284.84905849255546;2020-03-28
12;336.27036615351375;2020-03-29
13;392.5302795205015;2020-03-30
14;453.7220613136831;2020-03-31
15;519.9346729449691;2020-04-01
16;591.2532208535648;2020-04-02
17;667.7593338101536;2020-04-03
18;749.5314851421276;2020-04-04
19;836.645267356314;2020-04-05
20;929.1736355138902;2020-04-06
21;1027.1871170902277;2020-04-07
22;1130.7539956218297;2020-04-08
23;1239.9404744769333;2020-04-09
24;1354.81082303718;2020-04-10
25;1475.427506000264;2020-04-11
26;1601.851300027404;2020-04-12
27;1734.14139971366;2020-04-13
28;1872.3555128476835;2020-04-14
29;2016.5499410828927;2020-04-15
30;2166.7796702423566;2020-04-16
31;2323.098429949497;2020-04-17
32;2485.5587700310334;2020-04-18
33;2654.2121127597334;2020-04-19
34;2829.1088149395114;2020-04-20
35;3010.298214784107;2020-04-21
36;3197.828683084241;2020-04-22
37;3391.7476651836123;2020-04-23
38;3592.101723536031;2020-04-24
39;3798.9365753065745;2020-04-25
40;4012.2971283261945;2020-04-26
41;4232.227514769304;2020-04-27
42;4458.7711232410065;2020-04-28
43;4691.970627340729;2020-04-29
44;4931.868008275311;2020-04-30
45;5178.504586429268;2020-05-01
46;5431.921051939876;2020-05-02
47;5692.157473532071;2020-05-03
48;5959.253325916397;2020-05-04
49;6233.247519009394;2020-05-05
50;6514.178405010406;2020-05-06
51;6802.083799563341;2020-05-07
52;7097.001006626065;2020-05-08
53;7398.966827151905;2020-05-09
54;7708.017575037218;2020-05-10
55;8024.189097801592;2020-05-11
56;8347.51678660541;2020-05-12
57;8678.03558843146;2020-05-13
58;9015.78002291643;2020-05-14
59;9360.784193293073;2020-05-15
60;9713.081795880827;2020-05-16
61;10072.706133807484;2020-05-17
62;10439.690128291815;2020-05-18
63;10814.06632616336;2020-05-19
64;11195.866912110261;2020-05-20
65;11585.123719764077;2020-05-21
66;11981.86823525067;2020-05-22
67;12386.131606907571;2020-05-23
68;12797.944652566308;2020-05-24
69;13217.337876360469;2020-05-25
70;13644.341475329706;2020-05-26
71;14078.985335913148;2020-05-27
72;14521.299045455216;2020-05-28
73;14971.311898398577;2020-05-29
74;15429.0529123507;2020-05-30
75;15894.550827663237;2020-05-31
76;16367.834109438361;2020-06-01
77;16848.930955773474;2020-06-02
78;17337.869303456828;2020-06-03
79;17834.67684080159;2020-06-04
80;18339.381005092222;2020-06-05
81;18852.008987465953;2020-06-06
82;19372.587738701648;2020-06-07
83;19901.143974616672;2020-06-08
84;20437.7041857627;2020-06-09
85;20982.294634806138;2020-06-10
86;21534.94136211635;2020-06-11
87;22095.670190087403;2020-06-12
88;22664.506728290544;2020-06-13
89;23241.476380096767;2020-06-14
90;23826.604341227903;2020-06-15
91;24419.91560491375;2020-06-16
92;25021.43496527493;2020-06-17
93;25631.18702229381;2020-06-18
94;26249.19618583945;2020-06-19
95;26875.486675613818;2020-06-20
96;27510.082525422826;2020-06-21
97;28153.00758599434;2020-06-22
98;28804.2855312952;2020-06-23
99;29463.93985868252;2020-06-24
100;30131.993889195397;2020-06-25
101;30808.470771599765;2020-06-26
102;31493.393484621585;2020-06-27
103;32186.78483904954;2020-06-28
104;32888.66747970724;2020-06-29
105;33599.06389301919;2020-06-30
106;34317.996415400594;2020-07-01
107;35045.4872174921;2020-07-02
108;35781.558313584115;2020-07-03
109;36526.23156375428;2020-07-04
110;37279.5286755541;2020-07-05
111;38041.47120559287;2020-07-06
112;38812.08056250167;2020-07-07
113;39591.37801869079;2020-07-08
114;40379.38469751243;2020-07-09
115;41176.121577601385;2020-07-10
116;41981.60949597212;2020-07-11
117;42795.86914937548;2020-07-12
118;43618.92109557467;2020-07-13
119;44450.785754625256;2020-07-14
120;45291.48341653015;2020-07-15
121;46141.03423762785;2020-07-16
122;46999.45823850862;2020-07-17
123;47866.77530787935;2020-07-18
124;48743.005203617504;2020-07-19
125;49628.16755375958;2020-07-20
126;50522.281857424074;2020-07-21
127;51425.36748805539;2020-07-22
128;52337.44369647627;2020-07-23
129;53258.52960506218;2020-07-24
130;54188.64421152101;2020-07-25
131;55127.806389776415;2020-07-26
132;56076.034890691415;2020-07-27
133;57033.34834273732;2020-07-28
134;57999.765253163634;2020-07-29
135;58975.304011969296;2020-07-30
136;59959.98288759692;2020-07-31
137;60953.82002858523;2020-08-01
138;61956.833464592535;2020-08-02
139;62969.04110686775;2020-08-03
140;63990.460748673955;2020-08-04
141;65021.110065705805;2020-08-05
142;66061.00661871285;2020-08-06
143;67110.16785199966;2020-08-07
144;68168.61109279803;2020-08-08
145;69236.35355242502;2020-08-09
146;70313.4123265121;2020-08-10
147;71399.8043951923;2020-08-11
148;72495.54662324513;2020-08-12
149;73600.65576183655;2020-08-13
150;74715.14844922957;2020-08-14
151;75839.04120657047;2020-08-15
152;76972.35044008764;2020-08-16
153;78115.09244110982;2020-08-17
154;79267.28338598971;2020-08-18
155;80428.93933598667;2020-08-19
156;81600.07623710837;2020-08-20
157;82780.70991991162;2020-08-21
158;83970.85609926208;2020-08-22
159;85170.53037405317;2020-08-23
160;86379.74822762329;2020-08-24
161;87598.52503724716;2020-08-25
162;88826.87606002289;2020-08-26
163;90064.81643381044;2020-08-27
164;91312.3611795539;2020-08-28
165;92569.52520085104;2020-08-29
166;93836.3232834857;2020-08-30
167;95112.77009492302;2020-08-31
168;96398.88018376734;2020-09-01
169;97694.66797918297;2020-09-02
170;99000.14779027762;2020-09-03
171;100315.3338054488;2020-09-04
172;101640.24009462903;2020-09-05
173;102974.88061012454;2020-09-06
174;104319.2691776448;2020-09-07
175;105673.41949969812;2020-09-08
176;107037.34515493482;2020-09-09
177;108411.05959732963;2020-09-10
178;109794.576155329;2020-09-11
179;111187.90803096378;2020-09-12
180;112591.06829892658;2020-09-13
181;114004.06990561433;2020-09-14
182;115426.92566813597;2020-09-15
183;116859.64827338062;2020-09-16
184;118302.25027839471;2020-09-17
185;119754.7441073374;2020-09-18
186;121217.14205048577;2020-09-19
187;122689.45626349904;2020-09-20
188;124171.69876623066;2020-09-21
189;125663.88144150554;2020-09-22
190;127166.01603386323;2020-09-23
191;128678.11414826642;2020-09-24
192;130200.18724877524;2020-09-25
193;131732.24665718694;2020-09-26
194;133274.3035516413;2020-09-27
195;134826.36896457616;2020-09-28
196;136388.45378084652;2020-09-29
197;137960.56873808152;2020-09-30
198;139542.72442422714;2020-10-01
199;141134.93127593308;2020-10-02
200;142737.19957693852;2020-10-03
201;144349.53945642305;2020-10-04
202;145971.96088732244;2020-10-05
203;147604.47368460984;2020-10-06
204;149247.08750354173;2020-10-07
205;150899.81183786909;2020-10-08
206;152562.65601783007;2020-10-09
207;154235.62920515216;2020-10-10
208;155918.740395285;2020-10-11
209;157611.99841531695;2020-10-12
210;159315.4119210212;2020-10-13
211;161028.98939482673;2020-10-14
212;162752.7391437532;2020-10-15
213;164486.66929730968;2020-10-16
214;166230.7878053573;2020-10-17
215;167985.1024359359;2020-10-18
216;169749.62077305428;2020-10-19
217;171524.3502144447;2020-10-20
218;173309.2979679373;2020-10-21
219;175104.47104577336;2020-10-22
220;176909.87627124347;2020-10-23
221;178725.52027095997;2020-10-24
222;180551.40947305365;2020-10-25
223;182387.5501046679;2020-10-26
224;184233.94818941568;2020-10-27
225;186090.60954480025;2020-10-28
226;187957.53977959865;2020-10-29
227;189834.74429120857;2020-10-30
228;191722.22826295765;2020-10-31
229;193619.99666106934;2020-11-01
230;195528.05422612722;2020-11-02
231;197446.40547830184;2020-11-03
232;199375.05471419514;2020-11-04
233;201314.00600193813;2020-11-05
234;203263.26317824205;2020-11-06
235;205222.82984541001;2020-11-07
236;207192.70936830895;2020-11-08
237;209172.90487130126;2020-11-09
238;211163.41923513674;2020-11-10
239;213164.25509380395;2020-11-11
240;215175.4148313411;2020-11-12
241;217196.90057860644;2020-11-13
242;219228.7142100077;2020-11-14
243;221270.85734019076;2020-11-15
244;223323.33132068702;2020-11-16
245;225386.13723651945;2020-11-17
246;227459.2759016835;2020-11-18
247;229542.74784700706;2020-11-19
248;231636.5533312691;2020-11-20
249;233740.6923342634;2020-11-21
250;235855.16455107136;2020-11-22
251;237979.96938836554;2020-11-23
252;240115.10596066804;2020-11-24
253;242260.57308656405;2020-11-25
254;244416.36928486958;2020-11-26
255;246582.49277075386;2020-11-27
256;248758.9414518159;2020-11-28
257;250945.71292411466;2020-11-29
258;253142.80446815336;2020-11-30
259;255350.21304481692;2020-12-01
260;257567.93529126295;2020-12-02
261;259795.96751676555;2020-12-03
262;262034.3056985121;2020-12-04
263;264282.94548176025;2020-12-05
264;266541.8821922609;2020-12-06
265;268811.1107969754;2020-12-07
266;271090.6259119516;2020-12-08
267;273380.421800813;2020-12-09
268;275680.492370385;2020-12-10
269;277990.8311662774;2020-12-11
270;280311.4313684251;2020-12-12
271;282642.285786584;2020-12-13
272;284983.3868557849;2020-12-14
273;287334.72663174337;2020-12-15
274;289696.29678622587;2020-12-16
275;292068.0886023732;2020-12-17
276;294450.0929699792;2020-12-18
277;296842.3003807262;2020-12-19
278;299244.7009233769;2020-12-20
279;301657.2842789212;2020-12-21
280;304080.0397274287;2020-12-22
281;306512.95616266626;2020-12-23
282;308956.0220304284;2020-12-24
283;311409.22534870205;2020-12-25
284;313872.5537051534;2020-12-26
285;316345.9942522079;2020-12-27
286;318829.5337020955;2020-12-28
287;321323.1583218607;2020-12-29
288;323826.8539283379;2020-12-30
289;326340.6058830925;2020-12-31
290;328864.39908732666;2021-01-01
291;331398.21797675116;2021-01-02
292;333942.04651642276;2021-01-03
293;336495.8681955474;2021-01-04
294;339059.66602224886;2021-01-05
295;341633.42251830443;2021-01-06
296;344217.1197138454;2021-01-07
297;346810.7391625914;2021-01-08
298;349414.26194488397;2021-01-09
299;352027.6686034767;2021-01-10
300;354650.9391696514;2021-01-11
301;357284.0531589335;2021-01-12
302;359926.9895658323;2021-01-13
303;362579.7268585603;2021-01-14
304;365242.2429737305;2021-01-15
305;367914.51531103364;2021-01-16
306;370596.5207278948;2021-01-17
307;373288.23553411005;2021-01-18
308;375989.6354864632;2021-01-19
309;378700.69578332384;2021-01-20
310;381421.39105922566;2021-01-21
311;384151.69537942705;2021-01-22
312;386891.5822344529;2021-01-23
313;389641.02453461883;2021-01-24
314;392399.99464308773;2021-01-25
315;395168.46435458615;2021-01-26
316;397946.40483183786;2021-01-27
317;400733.78663885477;2021-01-28
318;403530.57973578025;2021-01-29
319;406336.7534736432;2021-01-30
320;409152.2765891126;2021-01-31
321;411977.11719925323;2021-02-01
322;414811.2427962837;2021-02-02
323;417654.62024233694;2021-02-03
324;420507.2157642244;2021-02-04
325;423368.99494820397;2021-02-05
326;426239.92273475305;2021-02-06
327;429119.96341334726;2021-02-07
328;432009.0806172451;2021-02-08
329;434907.2373182799;2021-02-09
330;437814.3958220452;2021-02-10
331;440730.5178253354;2021-02-11
332;443655.564351638;2021-02-12
333;446589.4957086899;2021-02-13
334;449532.2715215829;2021-02-14
335;452483.8507280124;2021-02-15
336;455444.1915735574;2021-02-16
337;458413.2516069938;2021-02-17
338;461390.98767564073;2021-02-18
339;464377.3559207431;2021-02-19
340;467372.3117728891;2021-02-20
341;470375.80994746654;2021-02-21
342;473387.8044401564;2021-02-22
343;476408.2485224667;2021-02-23
344;479437.0947373072;2021-02-24
345;482474.29489460605;2021-02-25
346;485519.800066969;2021-02-26
347;488573.56058830186;2021-02-27
348;491635.52613034;2021-02-28
349;494705.64559451776;2021-03-01
350;497783.86710102495;2021-03-02
351;500870.1380171868;2021-03-03
352;503964.4049538708;2021-03-04
353;507066.6137619671;2021-03-05
354;510176.7095289445;2021-03-06
355;513294.63657548383;2021-03-07
356;516420.33845219016;2021-03-08
357;519553.75793638534;2021-03-09
358;522694.83702898276;2021-03-10
359;525843.5169514462;2021-03-11
360;528999.7381428335;2021-03-12
361;532163.4402569277;2021-03-13
362;535334.5621594578;2021-03-14
363;538513.0419254075;2021-03-15
364;541698.8168441248;2021-03-16
365;544891.8234986335;2021-03-17
366;548091.9976341308;2021-03-18
367;551299.2741780858;2021-03-19
368;554513.5872607785;2021-03-20
369;557734.8702136585;2021-03-21
370;560963.05556783;2021-03-22
371;564198.0750526623;2021-03-23
372;567439.8595945316;2021-03-24
373;570688.3393156925;2021-03-25
374;573943.443533284;2021-03-26
375;577205.1007584712;2021-03-27
376;580473.238695725;2021-03-28
377;583747.7842422416;2021-03-29
378;587028.6634875047;2021-03-30
379;590315.8017129912;2021-03-31
380;593609.1233920248;2021-04-01
381;596908.5522016716;2021-04-02
382;600214.0110817921;2021-04-03
383;603525.422122062;2021-04-04
384;606842.7065978448;2021-04-05
385;610165.7849824304;2021-04-06
386;613494.5769481934;2021-04-07
