;Cases;date
0;0.999999999999412;2020-03-06
1;1.2614552014567382;2020-03-07
2;1.5814036710874468;2020-03-08
3;1.9708469295051005;2020-03-09
4;2.4424839468743724;2020-03-10
5;3.010918121146807;2020-03-11
6;3.6928830948686624;2020-03-12
7;4.507488214605944;2020-03-13
8;5.476484845251632;2020-03-14
9;6.624554568295738;2020-03-15
10;7.979620210156188;2020-03-16
11;9.573180843428487;2020-03-17
12;11.440671642127521;2020-03-18
13;13.621849517210514;2020-03-19
14;16.161205408399123;2020-03-20
15;19.108403982631753;2020-03-21
16;22.518751403094186;2020-03-22
17;26.453691675825624;2020-03-23
18;30.98133186107988;2020-03-24
19;36.1769966196695;2020-03-25
20;42.12381169536901;2020-03-26
21;48.91331615931359;2020-03-27
22;56.64610294487446;2020-03-28
23;65.43248669354637;2020-03-29
24;75.39319735880737;2020-03-30
25;86.66009820283982;2020-03-31
26;99.37692583108455;2020-04-01
27;113.70004940191077;2020-04-02
28;129.7992453505275;2020-04-03
29;147.85848442452627;2020-04-04
30;168.07672576204862;2020-04-05
31;190.6687122486367;2020-04-06
32;215.86576062050167;2020-04-07
33;243.91654027728282;2020-04-08
34;275.08783153086944;2020-04-09
35;309.66525346292684;2020-04-10
36;347.9539515192766;2020-04-11
37;390.2792347319104;2020-04-12
38;436.98714866000074;2020-04-13
39;488.4449692648789;2020-04-14
40;545.0416047672851;2020-04-15
41;607.1878860354183;2020-04-16
42;675.3167383690408;2020-04-17
43;749.8832030384343;2020-04-18
44;831.3642996160487;2020-04-19
45;920.2587044986471;2020-04-20
46;1017.0862295629266;2020-04-21
47;1122.3870790204005;2020-04-22
48;1236.7208637331303;2020-04-23
49;1360.6653557424056;2020-04-24
50;1494.8149627263144;2020-04-25
51;1639.7789054525003;2020-04-26
52;1796.179079531302;2020-04-27
53;1964.6476036373115;2020-04-28
54;2145.824007551571;2020-04-29
55;2340.3521168890393;2020-04-30
56;2548.8765376336196;2020-05-01
57;2772.038870092556;2020-05-02
58;3010.473499731333;2020-05-03
59;3264.8031700509982;2020-05-04
60;3535.6341395144223;2020-05-05
61;3823.551187990705;2020-05-06
62;4129.112257532396;2020-05-07
63;4452.843020456818;2020-05-08
64;4795.231183253251;2020-05-09
65;5156.720802070202;2020-05-10
66;5537.706488610309;2020-05-11
67;5938.527717423758;2020-05-12
68;6359.463222520356;2020-05-13
69;6800.7255944490635;2020-05-14
70;7262.456189305925;2020-05-15
71;7744.720354323324;2020-05-16
72;8247.503180425563;2020-05-17
73;8770.705714615697;2020-05-18
74;9314.141869214633;2020-05-19
75;9877.535968883029;2020-05-20
76;10460.521084611968;2020-05-21
77;11062.63821286187;2020-05-22
78;11683.336238580618;2020-05-23
79;12321.972948284329;2020-05-24
80;12977.816746529894;2020-05-25
81;13650.049575361869;2020-05-26
82;14337.770411629503;2020-05-27
83;15040.000020176596;2020-05-28
84;15755.686148472072;2020-05-29
85;16483.70989939909;2020-05-30
86;17222.89242243942;2020-05-31
87;17972.002572304915;2020-06-01
88;18729.764783292198;2020-06-02
89;19494.867596258937;2020-06-03
90;20265.972308077704;2020-06-04
91;21041.72190859937;2020-06-05
92;21820.75003392517;2020-06-06
93;22601.689856551704;2020-06-07
94;23383.18285015042;2020-06-08
95;24163.88721356934;2020-06-09
96;24942.485980863425;2020-06-10
97;25717.694623422976;2020-06-11
98;26488.268145256137;2020-06-12
99;27253.00756015183;2020-06-13
100;28010.765415517984;2020-06-14
101;28760.451405076466;2020-06-15
102;29501.036389928908;2020-06-16
103;30231.555820072816;2020-06-17
104;30951.113374305973;2020-06-18
105;31658.882251028488;2020-06-19
106;32354.107019659285;2020-06-20
107;33036.104696704395;2020-06-21
108;33704.26409456407;2020-06-22
109;34358.046126112;2020-06-23
110;34996.98243097525;2020-06-24
111;35620.67367326723;2020-06-25
112;36228.78815891794;2020-06-26
113;36821.05898296687;2020-06-27
114;37397.281572499865;2020-06-28
115;37957.31089565602;2020-06-29
116;38501.058092397594;2020-06-30
117;39028.48731524793;2020-07-01
118;39539.61229141729;2020-07-02
119;40034.49281195624;2020-07-03
120;40513.23113830066;2020-07-04
121;40975.96865007792;2020-07-05
122;41422.88236868693;2020-07-06
123;41854.18114966724;2020-07-07
124;42270.10280273925;2020-07-08
125;42670.91091445324;2020-07-09
126;43056.89118461775;2020-07-10
127;43428.34896102467;2020-07-11
128;43785.60658751355;2020-07-12
129;44129.000171816006;2020-07-13
130;44458.877439025695;2020-07-14
131;44775.5956816085;2020-07-15
132;45079.51912962983;2020-07-16
133;45371.01707873937;2020-07-17
134;45650.4624011904;2020-07-18
135;45918.2295523805;2020-07-19
136;46174.692994256846;2020-07-20
137;46420.22616590949;2020-07-21
138;46655.2000616975;2020-07-22
139;46879.98199185878;2020-07-23
140;47094.93489526611;2020-07-24
141;47300.41638118108;2020-07-25
142;47496.777863154624;2020-07-26
143;47684.36409410752;2020-07-27
144;47863.51257739937;2020-07-28
145;48034.55304334711;2020-07-29
146;48197.807146211824;2020-07-30
147;48353.58815016704;2020-07-31
148;48502.200683093564;2020-08-01
149;48643.94056878527;2020-08-02
150;48779.09470471319;2020-08-03
151;48907.94101907163;2020-08-04
152;49030.74842306454;2020-08-05
153;49147.77681618105;2020-08-06
154;49259.277200842254;2020-08-07
155;49365.49170570579;2020-08-08
156;49466.653654417045;2020-08-09
157;49562.98767874869;2020-08-10
158;49654.710064156796;2020-08-11
159;49742.02882857238;2020-08-12
160;49825.14376696303;2020-08-13
161;49904.24667495828;2020-08-14
162;49979.52170324745;2020-08-15
163;50051.145570404864;2020-08-16
164;50119.28757846374;2020-08-17
165;50184.10988248698;2020-08-18
166;50245.767807253374;2020-08-19
167;50304.410159817264;2020-08-20
168;50360.17921446507;2020-08-21
169;50413.210997823575;2020-08-22
170;50463.635558131675;2020-08-23
171;50511.5773103536;2020-08-24
172;50557.155033270654;2020-08-25
173;50600.48213489512;2020-08-26
174;50641.66687782933;2020-08-27
175;50680.81268551961;2020-08-28
176;50718.0181941804;2020-08-29
177;50753.377470523505;2020-08-30
178;50786.98020718595;2020-08-31
179;50818.91199742021;2020-09-01
180;50849.25440424766;2020-09-02
181;50878.08514180743;2020-09-03
182;50905.4782459669;2020-09-04
183;50931.50429223624;2020-09-05
184;50956.23049353971;2020-09-06
185;50979.72084520188;2020-09-07
186;51002.03627221904;2020-09-08
187;51023.234800290746;2020-09-09
188;51043.37166255538;2020-09-10
189;51062.49941681007;2020-09-11
190;51080.66807129662;2020-09-12
191;51097.92522279638;2020-09-13
192;51114.316159470116;2020-09-14
193;51129.88395622627;2020-09-15
194;51144.66958329114;2020-09-16
195;51158.712009612645;2020-09-17
196;51172.04830035278;2020-09-18
197;51184.71369651587;2020-09-19
198;51196.74170495744;2020-09-20
199;51208.164185624664;2020-09-21
200;51219.01143218066;2020-09-22
201;51229.31223651224;2020-09-23
202;51239.09396347233;2020-09-24
203;51248.38261764151;2020-09-25
204;51257.20292822136;2020-09-26
205;51265.57840325297;2020-09-27
206;51273.531371743054;2020-09-28
207;51281.08304655858;2020-09-29
208;51288.253576501105;2020-09-30
209;51295.06213452923;2020-10-01
210;51301.526935683745;2020-10-02
211;51307.66527135591;2020-10-03
212;51313.49355984264;2020-10-04
213;51319.02738981968;2020-10-05
214;51324.28161474385;2020-10-06
215;51329.27033101072;2020-10-07
216;51334.00691524614;2020-10-08
217;51338.50406424985;2020-10-09
218;51342.7738344383;2020-10-10
219;51346.827719544446;2020-10-11
220;51350.67661612164;2020-10-12
221;51354.33086425742;2020-10-13
222;51357.800275991314;2020-10-14
223;51361.094172561134;2020-10-15
224;51364.22143854971;2020-10-16
225;51367.19049090475;2020-10-17
226;51370.00931678398;2020-10-18
227;51372.68549341118;2020-10-19
228;51375.22622498786;2020-10-20
229;51377.63837403323;2020-10-21
230;51379.928439604286;2020-10-22
231;51382.10258895333;2020-10-23
232;51384.166671930274;2020-10-24
233;51386.1262562517;2020-10-25
234;51387.9866374256;2020-10-26
235;51389.75283221433;2020-10-27
236;51391.429600704316;2020-10-28
237;51393.02145790945;2020-10-29
238;51394.53270577779;2020-10-30
239;51395.967428807286;2020-10-31
240;51397.32949820536;2020-11-01
241;51398.62258641585;2020-11-02
242;51399.850177455926;2020-11-03
243;51401.015593932;2020-11-04
244;51402.121985899954;2020-11-05
245;51403.17234009568;2020-11-06
246;51404.16948961946;2020-11-07
247;51405.11612371401;2020-11-08
248;51406.014806933235;2020-11-09
249;51406.86796823373;2020-11-10
250;51407.67791139422;2020-11-11
251;51408.44682131633;2020-11-12
252;51409.176773812665;2020-11-13
253;51409.86974746447;2020-11-14
254;51410.527615186926;2020-11-15
255;51411.15215368381;2020-11-16
256;51411.74504773522;2020-11-17
257;51412.30790016039;2020-11-18
258;51412.842236428995;2020-11-19
259;51413.349500828495;2020-11-20
260;51413.83106349549;2020-11-21
261;51414.288227080084;2020-11-22
262;51414.72221979398;2020-11-23
263;51415.134225207854;2020-11-24
264;51415.52535567479;2020-11-25
265;51415.896667131216;2020-11-26
266;51416.24916160046;2020-11-27
267;51416.58379675494;2020-11-28
268;51416.90147909525;2020-11-29
269;51417.20306646231;2020-11-30
270;51417.489371596384;2020-12-01
271;51417.76116417334;2020-12-02
272;51418.019175775225;2020-12-03
273;51418.26410900484;2020-12-04
274;51418.496626708744;2020-12-05
275;51418.71735872428;2020-12-06
276;51418.92690466777;2020-12-07
277;51419.12583620813;2020-12-08
