;Cases;date
0;3.0;2020-03-13
1;4.015474639701403;2020-03-14
2;5.235717371745051;2020-03-15
3;6.679070311394089;2020-03-16
4;8.363805295334242;2020-03-17
5;10.308129733944657;2020-03-18
6;12.530191653291855;2020-03-19
7;15.048083777095814;2020-03-20
8;17.879847327742315;2020-03-21
9;21.04347519341399;2020-03-22
10;24.556914941726884;2020-03-23
11;28.438071272419418;2020-03-24
12;32.704808066841245;2020-03-25
13;37.37495086235588;2020-03-26
14;42.466288377060636;2020-03-27
15;47.99657447043471;2020-03-28
16;53.98352950612892;2020-03-29
17;60.44484179941892;2020-03-30
18;67.39816896640194;2020-03-31
19;74.8611390911538;2020-04-01
20;82.8513518676931;2020-04-02
21;91.38637963971361;2020-04-03
22;100.48376831912607;2020-04-04
23;110.16103827593794;2020-04-05
24;120.43568532071116;2020-04-06
25;131.32518129569448;2020-04-07
26;142.84697497453678;2020-04-08
27;155.01849268465773;2020-04-09
28;167.85713895039274;2020-04-10
29;181.3802971901757;2020-04-11
30;195.6053302012279;2020-04-12
31;210.54958080739232;2020-04-13
32;226.2303723318328;2020-04-14
33;242.6650091058715;2020-04-15
34;259.8707769754183;2020-04-16
35;277.8649437032665;2020-04-17
36;296.66475945320343;2020-04-18
37;316.2874571646294;2020-04-19
38;336.75025298704634;2020-04-20
39;358.0703466418988;2020-04-21
40;380.26492171453935;2020-04-22
41;403.35114599126064;2020-04-23
42;427.3461719356011;2020-04-24
43;452.26713703488014;2020-04-25
44;478.13116386875544;2020-04-26
45;504.9553604700013;2020-04-27
46;532.7568207176438;2020-04-28
47;561.5526246887584;2020-04-29
48;591.3598386723738;2020-04-30
49;622.1955154975067;2020-05-01
50;654.0766948367525;2020-05-02
51;687.0204035240268;2020-05-03
52;721.0436555947897;2020-05-04
53;756.1634525569801;2020-05-05
54;792.3967836396149;2020-05-06
55;829.760626079498;2020-05-07
56;868.2719451699231;2020-05-08
57;907.9476944913359;2020-05-09
58;948.8048161185079;2020-05-10
59;990.8602408700864;2020-05-11
60;1034.1308883729353;2020-05-12
61;1078.6336672564555;2020-05-13
62;1124.385475330041;2020-05-14
63;1171.4031998016317;2020-05-15
64;1219.7037173492213;2020-05-16
65;1269.3038942871272;2020-05-17
66;1320.2205867327787;2020-05-18
67;1372.470640833505;2020-05-19
68;1426.0708927548358;2020-05-20
69;1481.038168847805;2020-05-21
70;1537.389285779155;2020-05-22
71;1595.1410506464626;2020-05-23
72;1654.3102610903113;2020-05-24
73;1714.913705712281;2020-05-25
74;1776.9681640028446;2020-05-26
75;1840.4904062568353;2020-05-27
76;1905.497193814475;2020-05-28
77;1972.0052791613437;2020-05-29
78;2040.031406023916;2020-05-30
79;2109.5923095458793;2020-05-31
80;2180.7047166389125;2020-06-01
81;2253.3853456387237;2020-06-02
82;2327.6509065378204;2020-06-03
83;2403.5181010972133;2020-06-04
84;2481.003622932202;2020-06-05
85;2560.124157598163;2020-06-06
86;2640.896382869464;2020-06-07
87;2723.33696867987;2020-06-08
88;2807.462577116873;2020-06-09
89;2893.2898625750463;2020-06-10
90;2980.8354718327396;2020-06-11
91;3070.116044126104;2020-06-12
92;3161.1482112732024;2020-06-13
93;3253.948597869081;2020-06-14
94;3348.5338211289136;2020-06-15
95;3444.9204910396115;2020-06-16
96;3543.125210437835;2020-06-17
97;3643.164575076931;2020-06-18
98;3745.05517369498;2020-06-19
99;3848.8135881925427;2020-06-20
100;3954.456393602192;2020-06-21
101;4062.0001581189053;2020-06-22
102;4171.461443198728;2020-06-23
103;4282.856803619223;2020-06-24
104;4396.2027875381955;2020-06-25
105;4511.515936584044;2020-06-26
106;4628.812785971473;2020-06-27
107;4748.109864436526;2020-06-28
108;4869.423694339028;2020-06-29
109;4992.770791720786;2020-06-30
110;5118.1676663588705;2020-07-01
111;5245.630821823469;2020-07-02
112;5375.176755658659;2020-07-03
113;5506.821959274835;2020-07-04
114;5640.58291798992;2020-07-05
115;5776.476111119646;2020-07-06
116;5914.5180120240275;2020-07-07
117;6054.72508815251;2020-07-08
118;6197.113801087755;2020-07-09
119;6341.700606588093;2020-07-10
120;6488.501954628622;2020-07-11
121;6637.534289440963;2020-07-12
122;6788.814049751522;2020-07-13
123;6942.357668914445;2020-07-14
124;7098.181574427378;2020-07-15
125;7256.302188233286;2020-07-16
126;7416.735926765241;2020-07-17
127;7579.499200983355;2020-07-18
128;7744.60841641058;2020-07-19
129;7912.079973167376;2020-07-20
130;8081.930266005258;2020-07-21
131;8254.175684339203;2020-07-22
132;8428.832612254992;2020-07-23
133;8605.917428338931;2020-07-24
134;8785.446506009179;2020-07-25
135;8967.436213483415;2020-07-26
136;9151.902913760372;2020-07-27
137;9338.86296464277;2020-07-28
138;9528.332718759048;2020-07-29
139;9720.328523583812;2020-07-30
140;9914.86672145708;2020-07-31
141;10111.96364960225;2020-08-01
142;10311.635640142857;2020-08-02
143;10513.89901799084;2020-08-03
144;10718.770101717728;2020-08-04
145;10926.265206203298;2020-08-05
146;11136.400640903315;2020-08-06
147;11349.192709821962;2020-08-07
148;11564.657711481666;2020-08-08
149;11782.811938890085;2020-08-09
150;12003.671679504201;2020-08-10
151;12227.253215191577;2020-08-11
152;12453.572822188737;2020-08-12
153;12682.646767901313;2020-08-13
154;12914.491299036876;2020-08-14
155;13149.122663957485;2020-08-15
156;13386.557105101623;2020-08-16
157;13626.810857099219;2020-08-17
158;13869.900146526401;2020-08-18
159;14115.841191649575;2020-08-19
160;14364.650202158868;2020-08-20
161;14616.34337889088;2020-08-21
162;14870.936913540801;2020-08-22
163;15128.446988178624;2020-08-23
164;15388.889751850927;2020-08-24
165;15652.281301314586;2020-08-25
166;15918.637756002356;2020-08-26
167;16187.975228192228;2020-08-27
168;16460.309781512304;2020-08-28
169;16735.657462204294;2020-08-29
170;17014.034289021267;2020-08-30
171;17295.45624752426;2020-08-31
172;17579.939287133027;2020-09-01
173;17867.499316267986;2020-09-02
174;18158.152196448522;2020-09-03
175;18451.913740818694;2020-09-04
176;18748.79970671773;2020-09-05
177;19048.825777728;2020-09-06
178;19352.00757079397;2020-09-07
179;19658.36062589064;2020-09-08
180;19967.900375747646;2020-09-09
181;20280.642155404454;2020-09-10
182;20596.601192162623;2020-09-11
183;20915.792562451577;2020-09-12
184;21238.23119745326;2020-09-13
185;21563.931876622693;2020-09-14
186;21892.909169720893;2020-09-15
187;22225.177430126234;2020-09-16
188;22560.75079399572;2020-09-17
189;22899.64312130124;2020-09-18
190;23241.86793320221;2020-09-19
191;23587.438458900102;2020-09-20
192;23936.367533206634;2020-09-21
193;24288.667515889487;2020-09-22
194;24644.350331481055;2020-09-23
195;25003.427388992593;2020-09-24
196;25365.909449753457;2020-09-25
197;25731.806580868677;2020-09-26
198;26101.128110976533;2020-09-27
199;26473.88252150473;2020-09-28
200;26850.07732671588;2020-09-29
201;27229.71899129073;2020-09-30
202;27612.812817600825;2020-10-01
203;27999.362786729555;2020-10-02
204;28389.371334815532;2020-10-03
205;28782.83931085019;2020-10-04
206;29179.765778730656;2020-10-05
207;29580.147713492835;2020-10-06
208;29983.9797697964;2020-10-07
209;30391.25417425543;2020-10-08
210;30801.96041744357;2020-10-09
211;31216.08475296826;2020-10-10
212;31633.610027261715;2020-10-11
213;32054.515384759525;2020-10-12
214;32478.77580956603;2020-10-13
215;32906.36143284262;2020-10-14
216;33337.23738657117;2020-10-15
217;33771.363262162;2020-10-16
218;34208.69239938816;2020-10-17
219;34649.1711113048;2020-10-18
220;35092.7383967444;2020-10-19
221;35539.32513998081;2020-10-20
222;35988.85305731046;2020-10-21
223;36441.23399288312;2020-10-22
224;36896.3692260758;2020-10-23
225;37354.14844755596;2020-10-24
226;37814.44849732283;2020-10-25
227;38277.13256454552;2020-10-26
228;38742.049077388365;2020-10-27
229;39209.03052859274;2020-10-28
230;39677.892299521736;2020-10-29
231;40148.43137354453;2020-10-30
232;40620.42504087416;2020-10-31
233;41093.62996743877;2020-11-01
234;41567.78111653093;2020-11-02
235;42042.59008454804;2020-11-03
