;Cases;date
0;1.0;2020-03-21
1;1.6530193919085372;2020-03-22
2;2.6070621411333135;2020-03-23
3;3.9546779860788144;2020-03-24
4;5.805268642318474;2020-03-25
5;8.286400368066383;2020-03-26
6;11.545102575079142;2020-03-27
7;15.749152529792106;2020-03-28
8;21.08834441812844;2020-03-29
9;27.775736177982402;2020-03-30
10;36.04886186388651;2020-03-31
11;46.17087947949391;2020-04-01
12;58.43159673000806;2020-04-02
13;73.14826351968964;2020-04-03
14;90.66592673318442;2020-04-04
15;111.35697247664434;2020-04-05
16;135.61922319583425;2020-04-06
17;163.87150721902677;2020-04-07
18;196.54494974990368;2020-04-08
19;234.06725409401713;2020-04-09
20;276.83595959133004;2020-04-10
21;325.1751897313095;2020-04-11
22;379.2694487691409;2020-04-12
23;439.0689715816346;2020-04-13
24;504.1667862080673;2020-04-14
25;573.6618550130538;2020-04-15
26;646.04704547902;2020-04-16
27;719.1892275517783;2020-04-17
28;790.4780263733252;2020-04-18
29;857.1767919537397;2020-04-19
30;916.9059818594801;2020-04-20
31;968.0835758358;2020-04-21
32;1010.1387935349819;2020-04-22
33;1043.4332661272263;2020-04-23
34;1068.9748117223828;2020-04-24
35;1088.0771743357454;2020-04-25
36;1102.0844189922473;2020-04-26
37;1112.2037186476216;2020-04-27
38;1119.434381800801;2020-04-28
39;1124.5599994926074;2020-04-29
40;1128.172730556332;2020-04-30
41;1130.708822838831;2020-05-01
42;1132.4840446341461;2020-05-02
43;1133.7241745945316;2020-05-03
44;1134.589282318481;2020-05-04
45;1135.1921840581972;2020-05-05
46;1135.6120637903311;2020-05-06
47;1135.9043411403165;2020-05-07
48;1136.107726873509;2020-05-08
49;1136.2492232631987;2020-05-09
50;1136.347646964885;2020-05-10
51;1136.41610210298;2020-05-11
52;1136.4637102767247;2020-05-12
53;1136.4968163287253;2020-05-13
54;1136.5198387697776;2020-05-14
55;1136.5358485046522;2020-05-15
56;1136.5469812543788;2020-05-16
57;1136.5547219925775;2020-05-17
58;1136.5601053643338;2020-05-18
59;1136.5638485753282;2020-05-19
60;1136.5664511999596;2020-05-20
61;1136.5682610835088;2020-05-21
62;1136.569519308831;2020-05-22
63;1136.5703941283616;2020-05-23
64;1136.571003759524;2020-05-24
65;1136.571426730659;2020-05-25
66;1136.5717199523299;2020-05-26
67;1136.5719242494206;2020-05-27
68;1136.5720661972996;2020-05-28
69;1136.5721647548532;2020-05-29
70;1136.572233084451;2020-05-30
71;1136.572280913804;2020-05-31
72;1136.5723148202896;2020-06-01
73;1136.5723389742734;2020-06-02
74;1136.5723549103254;2020-06-03
75;1136.5723663878225;2020-06-04
76;1136.572373959702;2020-06-05
77;1136.5723791055138;2020-06-06
78;1136.57238256049;2020-06-07
79;1136.572385015251;2020-06-08
80;1136.5723867973384;2020-06-09
81;1136.5723880657401;2020-06-10
82;1136.5723889688222;2020-06-11
83;1136.5723896070267;2020-06-12
84;1136.5723900468504;2020-06-13
85;1136.5723903584412;2020-06-14
86;1136.5723905765683;2020-06-15
87;1136.572390784152;2020-06-16
88;1136.572391020091;2020-06-17
89;1136.5723912152603;2020-06-18
90;1136.5723913696604;2020-06-19
91;1136.5723914832909;2020-06-20
92;1136.572391556152;2020-06-21
93;1136.572391588244;2020-06-22
94;1136.5723915795666;2020-06-23
95;1136.5723915301196;2020-06-24
96;1136.5723914399032;2020-06-25
97;1136.5723914441892;2020-06-26
98;1136.5723914623686;2020-06-27
99;1136.5723914707542;2020-06-28
100;1136.572391469346;2020-06-29
101;1136.5723914581442;2020-06-30
102;1136.5723914371486;2020-07-01
103;1136.572391406359;2020-07-02
104;1136.5723913657757;2020-07-03
105;1136.5723913153988;2020-07-04
106;1136.5723912604813;2020-07-05
107;1136.572391247111;2020-07-06
108;1136.572391233741;2020-07-07
109;1136.5723912203707;2020-07-08
110;1136.5723912070005;2020-07-09
111;1136.5723911936304;2020-07-10
112;1136.5723911802602;2020-07-11
113;1136.57239116689;2020-07-12
114;1136.57239115352;2020-07-13
115;1136.5723911401496;2020-07-14
116;1136.5723911353798;2020-07-15
117;1136.572391135007;2020-07-16
118;1136.5723911346338;2020-07-17
119;1136.5723911342607;2020-07-18
120;1136.5723911338875;2020-07-19
121;1136.5723911335147;2020-07-20
122;1136.5723911331415;2020-07-21
123;1136.5723911327684;2020-07-22
124;1136.5723911323953;2020-07-23
125;1136.5723911320224;2020-07-24
126;1136.5723911316493;2020-07-25
127;1136.5723911312762;2020-07-26
128;1136.572391130903;2020-07-27
129;1136.5723911305301;2020-07-28
130;1136.572391130157;2020-07-29
131;1136.572391129784;2020-07-30
132;1136.5723911294108;2020-07-31
133;1136.572391129038;2020-08-01
134;1136.5723911286648;2020-08-02
135;1136.5723911282917;2020-08-03
136;1136.5723911279188;2020-08-04
137;1136.5723911275456;2020-08-05
138;1136.5723911271725;2020-08-06
139;1136.5723911267994;2020-08-07
140;1136.5723911264265;2020-08-08
141;1136.5723911260534;2020-08-09
142;1136.5723911256803;2020-08-10
143;1136.5723911253071;2020-08-11
144;1136.5723911249343;2020-08-12
145;1136.5723911245611;2020-08-13
146;1136.572391124188;2020-08-14
147;1136.572391123815;2020-08-15
148;1136.572391123442;2020-08-16
149;1136.5723911230689;2020-08-17
150;1136.5723911226958;2020-08-18
151;1136.5723911223226;2020-08-19
152;1136.5723911219497;2020-08-20
153;1136.5723911215766;2020-08-21
154;1136.5723911212035;2020-08-22
155;1136.5723911208304;2020-08-23
156;1136.5723911204575;2020-08-24
157;1136.5723911200844;2020-08-25
158;1136.5723911197113;2020-08-26
159;1136.5723911193381;2020-08-27
160;1136.5723911189652;2020-08-28
161;1136.5723911185921;2020-08-29
162;1136.572391118219;2020-08-30
163;1136.5723911178459;2020-08-31
164;1136.572391117473;2020-09-01
165;1136.5723911170999;2020-09-02
166;1136.5723911167267;2020-09-03
167;1136.5723911163536;2020-09-04
168;1136.5723911159807;2020-09-05
169;1136.5723911156076;2020-09-06
170;1136.5723911152345;2020-09-07
171;1136.5723911148614;2020-09-08
172;1136.5723911144885;2020-09-09
173;1136.5723911141154;2020-09-10
174;1136.5723911137422;2020-09-11
175;1136.5723911133691;2020-09-12
176;1136.5723911129962;2020-09-13
177;1136.572391112623;2020-09-14
178;1136.57239111225;2020-09-15
179;1136.5723911118769;2020-09-16
180;1136.572391111504;2020-09-17
181;1136.5723911111309;2020-09-18
182;1136.5723911107577;2020-09-19
183;1136.5723911103846;2020-09-20
184;1136.5723911100117;2020-09-21
185;1136.5723911096386;2020-09-22
186;1136.5723911092655;2020-09-23
187;1136.5723911088924;2020-09-24
188;1136.5723911085195;2020-09-25
189;1136.5723911081463;2020-09-26
190;1136.5723911077732;2020-09-27
191;1136.5723911074;2020-09-28
192;1136.5723911070272;2020-09-29
193;1136.572391106654;2020-09-30
194;1136.572391106281;2020-10-01
195;1136.5723911059079;2020-10-02
196;1136.572391105535;2020-10-03
197;1136.5723911051618;2020-10-04
198;1136.5723911047887;2020-10-05
199;1136.5723911044156;2020-10-06
200;1136.5723911040427;2020-10-07
201;1136.5723911036696;2020-10-08
202;1136.5723911032965;2020-10-09
