;Cases;date
0;1.0;2020-03-08
1;1.878108362745758;2020-03-09
2;3.170722863029276;2020-03-10
3;4.962770334172173;2020-03-11
4;7.340596679554375;2020-03-12
5;10.391792924925923;2020-03-13
6;14.205061518543445;2020-03-14
7;18.87010941362113;2020-03-15
8;24.477561250520317;2020-03-16
9;31.118886901974818;2020-03-17
10;38.8863403167297;2020-03-18
11;47.8729068960167;2020-03-19
12;58.17225791932112;2020-03-20
13;69.87871061525077;2020-03-21
14;83.08719283416664;2020-03-22
15;97.8932115867076;2020-03-23
16;114.39282474668305;2020-03-24
17;132.68261596992627;2020-03-25
18;152.85967110431008;2020-03-26
19;175.02155753617603;2020-03-27
20;199.26630478292063;2020-03-28
21;225.69238678070664;2020-03-29
22;254.39870573014426;2020-03-30
23;285.48457686279215;2020-03-31
24;319.0497144730368;2020-04-01
25;355.1942189442193;2020-04-02
26;394.0185644705416;2020-04-03
27;435.6235875689666;2020-04-04
28;480.11047693252834;2020-04-05
29;527.5807631663907;2020-04-06
30;578.1363085606613;2020-04-07
31;631.879299700934;2020-04-08
32;688.9122375008453;2020-04-09
33;749.3379302850074;2020-04-10
34;813.259485965297;2020-04-11
35;880.78030450078;2020-04-12
36;952.0040718635423;2020-04-13
37;1027.0347526685146;2020-04-14
38;1105.9765846864434;2020-04-15
39;1188.9340726317555;2020-04-16
40;1276.01198246361;2020-04-17
41;1367.3153363481529;2020-04-18
42;1462.9494070169708;2020-04-19
43;1563.0197132669182;2020-04-20
44;1667.632014687686;2020-04-21
45;1776.8923075164926;2020-04-22
46;1890.9068207303071;2020-04-23
47;2009.7820118492332;2020-04-24
48;2133.6245608561976;2020-04-25
49;2262.541368098201;2020-04-26
50;2396.639550979621;2020-04-27
51;2536.0264399671078;2020-04-28
52;2680.809573241216;2020-04-29
53;2831.0966953462266;2020-04-30
54;2986.995753878026;2020-05-01
55;3148.614895977657;2020-05-02
56;3316.0624640760134;2020-05-03
57;3489.446994562576;2020-05-04
58;3668.877214684027;2020-05-05
59;3854.462039421922;2020-05-06
60;4046.310568050889;2020-05-07
61;4244.5320828110935;2020-05-08
62;4449.236046082184;2020-05-09
63;4660.532097558022;2020-05-10
64;4878.530051554064;2020-05-11
65;5103.339895520941;2020-05-12
66;5335.071787564395;2020-05-13
67;5573.836053842945;2020-05-14
68;5819.743186464588;2020-05-15
69;6072.903841882473;2020-05-16
70;6333.428838715973;2020-05-17
71;6601.429154965283;2020-05-18
72;6877.015926849727;2020-05-19
73;7160.300447309338;2020-05-20
74;7451.394164002164;2020-05-21
75;7750.408677654368;2020-05-22
76;8057.455740443499;2020-05-23
77;8372.64725159701;2020-05-24
78;8696.095257578761;2020-05-25
79;9027.911952058503;2020-05-26
80;9368.209673305306;2020-05-27
81;9717.100902753986;2020-05-28
82;10074.698263618568;2020-05-29
83;10441.114517235292;2020-05-30
84;10816.462562647583;2020-05-31
85;11200.855437073831;2020-06-01
86;11594.406313465077;2020-06-02
87;11997.22849923028;2020-06-03
88;12409.43543500544;2020-06-04
89;12831.140692000792;2020-06-05
90;13262.45797100439;2020-06-06
91;13703.501102841512;2020-06-07
92;14154.384046306433;2020-06-08
93;14615.220887026584;2020-06-09
94;15086.125836362116;2020-06-10
95;15567.213229342848;2020-06-11
96;16058.5975233938;2020-06-12
97;16560.393298849747;2020-06-13
98;17072.715257128963;2020-06-14
99;17595.67821970906;2020-06-15
100;18129.39712713441;2020-06-16
101;18673.987037424078;2020-06-17
102;19229.563124724216;2020-06-18
103;19796.24067967555;2020-06-19
104;20374.135107871178;2020-06-20
105;20963.361928926064;2020-06-21
106;21564.036775579872;2020-06-22
107;22176.275392406882;2020-06-23
108;22800.193634485982;2020-06-24
109;23435.907467669887;2020-06-25
110;24083.53296726024;2020-06-26
111;24743.186317155607;2020-06-27
112;25414.983809036865;2020-06-28
113;26099.041841019338;2020-06-29
114;26795.476916172258;2020-06-30
115;27504.405643772567;2020-07-01
116;28225.944737665457;2020-07-02
117;28960.211015472032;2020-07-03
118;29707.321397869895;2020-07-04
119;30467.39290789257;2020-07-05
120;31240.542670247665;2020-07-06
121;32026.887910653877;2020-07-07
122;32826.54595505158;2020-07-08
123;33639.63422436915;2020-07-09
124;34466.27023880197;2020-07-10
125;35306.571618084694;2020-07-11
126;36160.656079179986;2020-07-12
127;37028.641435648104;2020-07-13
128;37910.645597031675;2020-07-14
129;38806.786568255506;2020-07-15
130;39717.18244904155;2020-07-16
131;40641.951433338974;2020-07-17
