;Cases;date
0;2.0;2020-03-16
1;3.7013666508376506;2020-03-17
2;5.67493962121546;2020-03-18
3;7.875405152482451;2020-03-19
4;10.273499873387879;2020-03-20
5;12.848382971965986;2020-03-21
6;15.584275061696164;2020-03-22
7;18.46871412199883;2020-03-23
8;21.491548693871692;2020-03-24
9;24.644311219233003;2020-03-25
10;27.919805097485874;2020-03-26
11;31.31182002869725;2020-03-27
12;34.81492892149779;2020-03-28
13;38.42433850531143;2020-03-29
14;42.135777028705505;2020-03-30
15;45.94540739595957;2020-03-31
16;49.849759424448415;2020-04-01
17;53.84567585807476;2020-04-02
18;57.93026880926775;2020-04-03
19;62.10088413510283;2020-04-04
20;66.35507214389877;2020-04-05
21;70.69056312769357;2020-04-06
22;75.10524667881468;2020-04-07
23;79.59715418445742;2020-04-08
24;84.16444395874115;2020-04-09
25;88.80538843806099;2020-04-10
26;93.51836306983814;2020-04-11
27;98.30183663471345;2020-04-12
28;103.15436279895971;2020-04-13
29;108.07457260382849;2020-04-14
30;113.06116836696654;2020-04-15
31;118.11291719639367;2020-04-16
32;123.228646389664;2020-04-17
33;128.40723836128063;2020-04-18
34;133.64762693903722;2020-04-19
35;138.94879324188167;2020-04-20
36;144.3097626881407;2020-04-21
37;149.72960163438714;2020-04-22
38;155.20741491055787;2020-04-23
39;160.74234306102767;2020-04-24
40;166.33356028361536;2020-04-25
41;171.9802721512857;2020-04-26
42;177.6817138139123;2020-04-27
43;183.43714812069314;2020-04-28
44;189.2458644276262;2020-04-29
45;195.10717663350675;2020-04-30
46;201.02042172863983;2020-05-01
47;206.98495914837804;2020-05-02
48;213.00016896958687;2020-05-03
49;219.06545104420672;2020-05-04
50;225.18022423938746;2020-05-05
51;231.34392502505625;2020-05-06
52;237.55600691854264;2020-05-07
53;243.81593969838423;2020-05-08
54;250.12320833475633;2020-05-09
55;256.47731257804804;2020-05-10
56;262.8777662105142;2020-05-11
57;269.32409625447343;2020-05-12
58;275.8158426177751;2020-05-13
59;282.35255741406615;2020-05-14
60;288.93380439588464;2020-05-15
61;295.55915860428394;2020-05-16
62;302.2282057155861;2020-05-17
63;308.94054172492343;2020-05-18
64;315.6957726543426;2020-05-19
65;322.49351417597137;2020-05-20
66;329.3333908396856;2020-05-21
67;336.21503584521787;2020-05-22
68;343.13809107439516;2020-05-23
69;350.1022066544204;2020-05-24
70;357.10704042061843;2020-05-25
71;364.15225759295754;2020-05-26
72;371.2375308686838;2020-05-27
73;378.3625400492951;2020-05-28
74;385.52697167025923;2020-05-29
75;392.73051865213375;2020-05-30
76;399.97288039479724;2020-05-31
77;407.2537624709844;2020-06-01
78;414.57287636085493;2020-06-02
79;421.9299391292885;2020-06-03
