;Cases;date
0;1.0;2020-03-20
1;1.410871082384389;2020-03-21
2;1.968275299261492;2020-03-22
3;2.7165513331164615;2020-03-23
4;3.7106663503265844;2020-03-24
5;5.017595670405825;2020-03-25
6;6.717185911030732;2020-03-26
7;8.901924024116424;2020-03-27
8;11.674743669071663;2020-03-28
9;15.143692077637818;2020-03-29
10;19.412103422047316;2020-03-30
11;24.56317765614308;2020-03-31
12;30.638978251899054;2020-04-01
13;37.616235185608275;2020-04-02
14;45.38479236804138;2020-04-03
15;53.7376649672653;2020-04-04
16;62.381729041361005;2020-04-05
17;70.97255100556637;2020-04-06
18;79.16671690951786;2020-04-07
19;86.67573858328115;2020-04-08
20;93.30406248443967;2020-04-09
21;98.9614177387442;2020-04-10
22;103.65124687727076;2020-04-11
23;107.4449323333474;2020-04-12
24;110.45284787552147;2020-04-13
25;112.79983569464605;2020-04-14
26;114.60820944008742;2020-04-15
27;115.9880525446319;2020-04-16
28;117.03307536423183;2020-04-17
29;117.8200407507242;2020-04-18
30;118.41013875521848;2020-04-19
31;118.8511950033512;2020-04-20
32;119.18005994114102;2020-04-21
33;119.42483082606493;2020-04-22
34;119.60676771579044;2020-04-23
35;119.74186542746438;2020-04-24
36;119.8421084674488;2020-04-25
37;119.91644830291557;2020-04-26
38;119.97155601572074;2020-04-27
39;120.01239473640585;2020-04-28
40;120.04265229306579;2020-04-29
41;120.06506649876184;2020-04-30
42;120.08166848100913;2020-05-01
43;120.09396428579834;2020-05-02
44;120.10307023161867;2020-05-03
45;120.10981355781107;2020-05-04
46;120.11480690048619;2020-05-05
47;120.11850436750802;2020-05-06
48;120.12124235689896;2020-05-07
49;120.12326973385237;2020-05-08
50;120.12477091450263;2020-05-09
51;120.12588234399996;2020-05-10
52;120.12670544416389;2020-05-11
53;120.12731494416363;2020-05-12
54;120.12776619698626;2020-05-13
55;120.1281003202736;2020-05-14
56;120.12834773518098;2020-05-15
57;120.12853089570326;2020-05-16
58;120.12866647517589;2020-05-17
59;120.12876700664572;2020-05-18
60;120.12884144488778;2020-05-19
61;120.12889648496213;2020-05-20
62;120.12893712235991;2020-05-21
63;120.12896730215552;2020-05-22
64;120.12898959138099;2020-05-23
65;120.1290061007741;2020-05-24
66;120.12901829066848;2020-05-25
67;120.12902729238861;2020-05-26
68;120.1290340505738;2020-05-27
69;120.12903911784933;2020-05-28
70;120.12904304322396;2020-05-29
71;120.1290456798609;2020-05-30
72;120.12904772889962;2020-05-31
73;120.12904925522899;2020-06-01
74;120.12905032181742;2020-06-02
75;120.12905110436357;2020-06-03
76;120.12905165757849;2020-06-04
77;120.12905207978294;2020-06-05
78;120.12905239508947;2020-06-06
79;120.12905263849943;2020-06-07
80;120.12905282221527;2020-06-08
81;120.1290529610963;2020-06-09
82;120.12905306463655;2020-06-10
83;120.12905314158604;2020-06-11
84;120.12905319893834;2020-06-12
85;120.12905324148564;2020-06-13
86;120.12905327353403;2020-06-14
87;120.1290533017143;2020-06-15
88;120.1290533350897;2020-06-16
89;120.1290533633007;2020-06-17
90;120.12905338634731;2020-06-18
91;120.12905340422954;2020-06-19
92;120.12905341694736;2020-06-20
93;120.1290534245008;2020-06-21
94;120.12905342688984;2020-06-22
95;120.12905342411449;2020-06-23
96;120.12905341617474;2020-06-24
97;120.12905341413125;2020-06-25
98;120.12905341803236;2020-06-26
99;120.1290534205087;2020-06-27
100;120.1290534215603;2020-06-28
101;120.12905342118715;2020-06-29
102;120.12905341938925;2020-06-30
103;120.1290534161666;2020-07-01
104;120.1290534115192;2020-07-02
105;120.12905340544705;2020-07-03
106;120.12905339795014;2020-07-04
107;120.12905339766355;2020-07-05
108;120.12905339530148;2020-07-06
109;120.1290533929394;2020-07-07
110;120.12905339057733;2020-07-08
111;120.12905338821525;2020-07-09
112;120.12905338585318;2020-07-10
113;120.12905338349111;2020-07-11
114;120.12905338112904;2020-07-12
115;120.12905337876697;2020-07-13
116;120.1290533767787;2020-07-14
117;120.1290533767004;2020-07-15
118;120.1290533766221;2020-07-16
119;120.12905337654381;2020-07-17
120;120.1290533764655;2020-07-18
121;120.12905337638722;2020-07-19
122;120.12905337630892;2020-07-20
123;120.12905337623062;2020-07-21
124;120.12905337615233;2020-07-22
125;120.12905337607403;2020-07-23
126;120.12905337599572;2020-07-24
127;120.12905337591744;2020-07-25
128;120.12905337583913;2020-07-26
129;120.12905337576083;2020-07-27
130;120.12905337568255;2020-07-28
131;120.12905337560424;2020-07-29
132;120.12905337552596;2020-07-30
133;120.12905337544765;2020-07-31
134;120.12905337536935;2020-08-01
135;120.12905337529106;2020-08-02
136;120.12905337521276;2020-08-03
137;120.12905337513446;2020-08-04
138;120.12905337505617;2020-08-05
139;120.12905337497787;2020-08-06
140;120.12905337489957;2020-08-07
141;120.12905337482128;2020-08-08
142;120.12905337474298;2020-08-09
143;120.1290533746647;2020-08-10
144;120.12905337458639;2020-08-11
145;120.12905337450809;2020-08-12
146;120.1290533744298;2020-08-13
147;120.1290533743515;2020-08-14
148;120.1290533742732;2020-08-15
149;120.12905337419491;2020-08-16
150;120.12905337411661;2020-08-17
151;120.1290533740383;2020-08-18
152;120.12905337396002;2020-08-19
153;120.12905337388172;2020-08-20
154;120.12905337380343;2020-08-21
155;120.12905337372513;2020-08-22
156;120.12905337364683;2020-08-23
157;120.12905337356854;2020-08-24
158;120.12905337349024;2020-08-25
159;120.12905337341194;2020-08-26
160;120.12905337333365;2020-08-27
161;120.12905337325535;2020-08-28
162;120.12905337317704;2020-08-29
163;120.12905337309876;2020-08-30
164;120.12905337302045;2020-08-31
165;120.12905337294217;2020-09-01
166;120.12905337286386;2020-09-02
167;120.12905337278556;2020-09-03
168;120.12905337270728;2020-09-04
169;120.12905337262897;2020-09-05
170;120.12905337255067;2020-09-06
171;120.12905337247238;2020-09-07
172;120.12905337239408;2020-09-08
173;120.12905337231578;2020-09-09
174;120.1290533722375;2020-09-10
175;120.12905337215919;2020-09-11
176;120.1290533720809;2020-09-12
177;120.1290533720026;2020-09-13
178;120.1290533719243;2020-09-14
179;120.12905337184601;2020-09-15
180;120.12905337176771;2020-09-16
181;120.12905337168941;2020-09-17
182;120.12905337161112;2020-09-18
183;120.12905337153282;2020-09-19
184;120.12905337145452;2020-09-20
185;120.12905337137623;2020-09-21
186;120.12905337129793;2020-09-22
187;120.12905337121964;2020-09-23
188;120.12905337114134;2020-09-24
189;120.12905337106304;2020-09-25
190;120.12905337098475;2020-09-26
191;120.12905337090645;2020-09-27
192;120.12905337082815;2020-09-28
193;120.12905337074986;2020-09-29
194;120.12905337067156;2020-09-30
195;120.12905337059325;2020-10-01
196;120.12905337051497;2020-10-02
197;120.12905337043667;2020-10-03
198;120.12905337035838;2020-10-04
199;120.12905337028008;2020-10-05
200;120.12905337020177;2020-10-06
201;120.12905337012349;2020-10-07
202;120.12905337004518;2020-10-08
203;120.12905336996688;2020-10-09
204;120.1290533698886;2020-10-10
205;120.1290533698103;2020-10-11
206;120.12905336973199;2020-10-12
207;120.1290533696537;2020-10-13
208;120.1290533695754;2020-10-14
209;120.12905336949711;2020-10-15
210;120.12905336941881;2020-10-16
211;120.12905336934051;2020-10-17
212;120.12905336926222;2020-10-18
213;120.12905336919188;2020-10-19
214;120.12905336918928;2020-10-20
215;120.12905336918669;2020-10-21
216;120.12905336918409;2020-10-22
217;120.1290533691815;2020-10-23
218;120.1290533691789;2020-10-24
219;120.1290533691763;2020-10-25
220;120.12905336917372;2020-10-26
221;120.12905336917112;2020-10-27
222;120.12905336916852;2020-10-28
223;120.12905336916593;2020-10-29
224;120.12905336916333;2020-10-30
225;120.12905336916074;2020-10-31
226;120.12905336915814;2020-11-01
227;120.12905336915554;2020-11-02
228;120.12905336915296;2020-11-03
229;120.12905336915036;2020-11-04
230;120.12905336914775;2020-11-05
231;120.12905336914517;2020-11-06
232;120.12905336914257;2020-11-07
233;120.12905336913998;2020-11-08
234;120.12905336913738;2020-11-09
235;120.12905336913478;2020-11-10
236;120.1290533691322;2020-11-11
237;120.1290533691296;2020-11-12
238;120.12905336912699;2020-11-13
239;120.1290533691244;2020-11-14
240;120.1290533691218;2020-11-15
241;120.12905336911922;2020-11-16
242;120.12905336911662;2020-11-17
243;120.12905336911402;2020-11-18
244;120.12905336911143;2020-11-19
245;120.12905336910883;2020-11-20
246;120.12905336910623;2020-11-21
247;120.12905336910364;2020-11-22
248;120.12905336910104;2020-11-23
249;120.12905336909846;2020-11-24
250;120.12905336909586;2020-11-25
251;120.12905336909326;2020-11-26
252;120.12905336909067;2020-11-27
253;120.12905336908807;2020-11-28
254;120.12905336908547;2020-11-29
255;120.12905336908288;2020-11-30
256;120.12905336908028;2020-12-01
257;120.1290533690777;2020-12-02
258;120.1290533690751;2020-12-03
259;120.1290533690725;2020-12-04
260;120.12905336906991;2020-12-05
261;120.12905336906731;2020-12-06
262;120.1290533690647;2020-12-07
263;120.12905336906212;2020-12-08
264;120.12905336905952;2020-12-09
265;120.12905336905693;2020-12-10
266;120.12905336905433;2020-12-11
267;120.12905336905173;2020-12-12
268;120.12905336904915;2020-12-13
269;120.12905336904655;2020-12-14
270;120.12905336904394;2020-12-15
271;120.12905336904136;2020-12-16
272;120.12905336903876;2020-12-17
273;120.12905336903617;2020-12-18
274;120.12905336903357;2020-12-19
275;120.12905336903097;2020-12-20
276;120.12905336902838;2020-12-21
277;120.12905336902578;2020-12-22
278;120.12905336902318;2020-12-23
279;120.1290533690206;2020-12-24
280;120.129053369018;2020-12-25
281;120.12905336901541;2020-12-26
282;120.12905336901281;2020-12-27
283;120.12905336901021;2020-12-28
284;120.12905336900762;2020-12-29
285;120.12905336900502;2020-12-30
286;120.12905336900242;2020-12-31
287;120.12905336899983;2021-01-01
288;120.12905336899723;2021-01-02
289;120.12905336899465;2021-01-03
290;120.12905336899205;2021-01-04
291;120.12905336898945;2021-01-05
292;120.12905336898686;2021-01-06
293;120.12905336898426;2021-01-07
294;120.12905336898166;2021-01-08
295;120.12905336897907;2021-01-09
296;120.12905336897647;2021-01-10
297;120.12905336897389;2021-01-11
298;120.12905336897128;2021-01-12
299;120.12905336896868;2021-01-13
300;120.1290533689661;2021-01-14
301;120.1290533689635;2021-01-15
302;120.1290533689609;2021-01-16
303;120.12905336895831;2021-01-17
304;120.12905336895571;2021-01-18
305;120.12905336895312;2021-01-19
306;120.12905336895052;2021-01-20
307;120.12905336894792;2021-01-21
308;120.12905336894534;2021-01-22
309;120.12905336894273;2021-01-23
310;120.12905336894026;2021-01-24
311;120.12905336894025;2021-01-25
312;120.12905336894025;2021-01-26
313;120.12905336894023;2021-01-27
314;120.12905336894022;2021-01-28
315;120.12905336894022;2021-01-29
316;120.1290533689402;2021-01-30
317;120.12905336894019;2021-01-31
318;120.12905336894019;2021-02-01
319;120.12905336894018;2021-02-02
320;120.12905336894018;2021-02-03
321;120.12905336894016;2021-02-04
322;120.12905336894015;2021-02-05
323;120.12905336894015;2021-02-06
324;120.12905336894013;2021-02-07
325;120.12905336894012;2021-02-08
326;120.12905336894012;2021-02-09
327;120.1290533689401;2021-02-10
328;120.1290533689401;2021-02-11
329;120.12905336894009;2021-02-12
330;120.12905336894008;2021-02-13
331;120.12905336894008;2021-02-14
332;120.12905336894006;2021-02-15
333;120.12905336894005;2021-02-16
334;120.12905336894005;2021-02-17
335;120.12905336894003;2021-02-18
336;120.12905336894003;2021-02-19
337;120.12905336894002;2021-02-20
338;120.12905336894;2021-02-21
339;120.12905336894;2021-02-22
340;120.12905336893999;2021-02-23
341;120.12905336893998;2021-02-24
342;120.12905336893998;2021-02-25
343;120.12905336893996;2021-02-26
344;120.12905336893996;2021-02-27
345;120.12905336893995;2021-02-28
346;120.12905336893994;2021-03-01
347;120.12905336893994;2021-03-02
348;120.12905336893992;2021-03-03
349;120.1290533689399;2021-03-04
350;120.1290533689399;2021-03-05
351;120.12905336893989;2021-03-06
352;120.12905336893989;2021-03-07
353;120.12905336893988;2021-03-08
354;120.12905336893986;2021-03-09
355;120.12905336893986;2021-03-10
356;120.12905336893985;2021-03-11
357;120.12905336893984;2021-03-12
358;120.12905336893984;2021-03-13
359;120.12905336893982;2021-03-14
360;120.12905336893982;2021-03-15
361;120.12905336893981;2021-03-16
362;120.1290533689398;2021-03-17
363;120.1290533689398;2021-03-18
364;120.12905336893978;2021-03-19
365;120.12905336893976;2021-03-20
366;120.12905336893976;2021-03-21
367;120.12905336893975;2021-03-22
368;120.12905336893975;2021-03-23
369;120.12905336893974;2021-03-24
370;120.12905336893972;2021-03-25
371;120.12905336893972;2021-03-26
372;120.12905336893971;2021-03-27
373;120.1290533689397;2021-03-28
374;120.1290533689397;2021-03-29
375;120.12905336893968;2021-03-30
376;120.12905336893968;2021-03-31
377;120.12905336893967;2021-04-01
378;120.12905336893965;2021-04-02
379;120.12905336893965;2021-04-03
380;120.12905336893964;2021-04-04
381;120.12905336893964;2021-04-05
382;120.12905336893962;2021-04-06
383;120.12905336893961;2021-04-07
