;Cases;date
0;1.0;2020-03-19
1;1.4007830583393208;2020-03-20
2;1.938082686258544;2020-03-21
3;2.6508448963871123;2020-03-22
4;3.5871372020355268;2020-03-23
5;4.805853988417971;2020-03-24
6;6.378665492604189;2020-03-25
7;8.392235848475355;2020-03-26
8;10.950736512668817;2020-03-27
9;14.178683273394883;2020-03-28
10;18.224126815557117;2020-03-29
11;23.262228270732273;2020-03-30
12;29.499253125866137;2020-03-31
13;37.17701947002709;2020-04-01
14;46.57783612103292;2020-04-02
15;58.029971047095366;2020-04-03
16;71.91369054394823;2020-04-04
17;88.66791199597927;2020-04-05
18;108.7975154197384;2020-04-06
19;132.88136077137662;2020-04-07
20;161.58106040447115;2020-04-08
21;195.65055794017502;2020-04-09
22;235.94656727167728;2020-04-10
23;283.43992758379574;2020-04-11
24;339.22793258567395;2020-04-12
25;404.54769456764706;2020-04-13
26;480.79060602147047;2020-04-14
27;569.5179646171115;2020-04-15
28;672.4778289993193;2020-04-16
29;791.6231759459246;2020-04-17
30;929.1314318492339;2020-04-18
31;1087.425454027497;2020-04-19
32;1269.1960399965274;2020-04-20
33;1477.426045596016;2020-04-21
34;1715.4161956122261;2020-04-22
35;1986.8126722304912;2020-04-23
36;2295.636572192238;2020-04-24
37;2646.315321896149;2020-04-25
38;3043.716145780467;2020-04-26
39;3493.181684053707;2020-04-27
40;4000.5678581713696;2020-04-28
41;4572.2840826698975;2020-04-29
42;5215.33592354854;2020-04-30
43;5937.370300786413;2020-05-01
44;6746.723326995958;2020-05-02
45;7652.470865731504;2020-05-03
46;8664.481877367145;2020-05-04
47;9793.474587798528;2020-05-05
48;11051.075451686043;2020-05-06
49;12449.880868622331;2020-05-07
50;14003.521384183241;2020-05-08
51;15726.727957026971;2020-05-09
52;17635.399766637427;2020-05-10
53;19746.672104060544;2020-05-11
54;22078.982637688096;2020-05-12
55;24652.13363403471;2020-05-13
56;27487.344527211833;2020-05-14
57;30607.28937460265;2020-05-15
58;34036.10673698673;2020-05-16
59;37799.37152857773;2020-05-17
60;41923.99875283133;2020-05-18
61;46438.053036346006;2020-05-19
62;51370.4123506935;2020-05-20
63;56750.218888169504;2020-05-21
64;62606.02745285213;2020-05-22
65;68964.5196682389;2020-05-23
66;75848.62977798408;2020-05-24
67;83274.88601162424;2020-05-25
68;91249.7663180315;2020-05-26
69;99764.90690399044;2020-05-27
70;108791.14876698209;2020-05-28
71;118271.728618535;2020-05-29
72;128115.45793029676;2020-05-30
73;138191.53017751663;2020-05-31
74;148328.38761326112;2020-06-01
75;158319.41627907258;2020-06-02
76;167937.48236084782;2020-06-03
77;176957.8574824787;2020-06-04
78;185185.51050889184;2020-06-05
79;192479.75904316193;2020-06-06
80;198769.0916339822;2020-06-07
81;204052.3130889773;2020-06-08
82;208387.2567487457;2020-06-09
83;211872.18969116735;2020-06-10
84;214625.99352198406;2020-06-11
85;216771.57822845862;2020-06-12
86;218424.46903822708;2020-06-13
87;219686.5154190702;2020-06-14
88;220643.49115080852;2020-06-15
89;221365.29042864952;2020-06-16
90;221907.50737882257;2020-06-17
91;222313.57537359605;2020-06-18
92;222616.98041164235;2020-06-19
93;222843.2856452923;2020-06-20
94;223011.86469606767;2020-06-21
95;223137.32107266368;2020-06-22
96;223230.61816206397;2020-06-23
97;223299.9623920432;2020-06-24
98;223351.48280265825;2020-06-25
99;223389.74933414083;2020-06-26
100;223418.16534713865;2020-06-27
101;223439.2630644651;2020-06-28
102;223454.92535922027;2020-06-29
103;223466.55152196946;2020-06-30
