;Cases;date
0;1.0;2020-03-19
1;1.5282164112978804;2020-03-20
2;2.1895832711240555;2020-03-21
3;2.991750774249501;2020-03-22
4;3.941682005015177;2020-03-23
5;5.0457843231298245;2020-03-24
6;6.310003570963963;2020-03-25
7;7.739894756300149;2020-03-26
8;9.340676165249599;2020-03-27
9;11.117272097074311;2020-03-28
10;13.074347264973984;2020-03-29
11;15.216334967441078;2020-03-30
12;17.54746044470024;2020-03-31
13;20.071760538325655;2020-04-01
14;22.79310040665927;2020-04-02
15;25.71518792097058;2020-04-03
16;28.84158594462382;2020-04-04
17;32.17572337747855;2020-04-05
18;35.72090458777747;2020-04-06
19;39.48031785623676;2020-04-07
20;43.45704289774953;2020-04-08
21;47.65405756861359;2020-04-09
22;52.07424387737531;2020-04-10
23;56.720393428111414;2020-04-11
24;61.59521237673471;2020-04-12
25;66.70132594013623;2020-04-13
26;72.04128224731139;2020-04-14
27;77.61755648526058;2020-04-15
28;83.43255398055241;2020-04-16
29;89.48861363964346;2020-04-17
30;95.78801067504973;2020-04-18
31;102.33295945554491;2020-04-19
32;109.12561592163536;2020-04-20
33;116.16807999383008;2020-04-21
34;123.46239771434465;2020-04-22
35;131.01056330113863;2020-04-23
36;138.81452105185602;2020-04-24
37;146.8761671207169;2020-04-25
38;155.19735121681555;2020-04-26
39;163.77987821047145;2020-04-27
40;172.62550958517951;2020-04-28
41;181.73596463610818;2020-04-29
42;191.1129220898573;2020-04-30
43;200.7580214790649;2020-05-01
44;210.6728638364564;2020-05-02
45;220.85901311672913;2020-05-03
46;231.31799748451945;2020-05-04
47;242.05130987337077;2020-05-05
48;253.06040915024255;2020-05-06
49;264.34672125677724;2020-05-07
50;275.911639734968;2020-05-08
51;287.75652668033433;2020-05-09
52;299.8827137443558;2020-05-10
53;312.2915026354744;2020-05-11
54;324.98416591130353;2020-05-12
55;337.96194784742715;2020-05-13
56;351.22606492454395;2020-05-14
57;364.77770649484575;2020-05-15
58;378.61803553849063;2020-05-16
59;392.7481891313933;2020-05-17
60;407.1692790227668;2020-05-18
61;421.8823923604036;2020-05-19
62;436.88859201383303;2020-05-20
63;452.18891706050243;2020-05-21
64;467.784383260387;2020-05-22
65;483.675983699056;2020-05-23
66;499.8646896003654;2020-05-24
67;516.3514500793256;2020-05-25
68;533.1371927742141;2020-05-26
69;550.2228242396833;2020-05-27
70;567.6092307050736;2020-05-28
71;585.2972782876406;2020-05-29
72;603.287813118902;2020-05-30
73;621.5816618224351;2020-05-31
74;640.1796318841411;2020-06-01
75;659.0825123045183;2020-06-02
76;678.2910735559966;2020-06-03
77;697.8060679426977;2020-06-04
78;717.6282299318506;2020-06-05
79;737.7582765535918;2020-06-06
80;758.1969078141351;2020-06-07
81;778.9448066976789;2020-06-08
82;800.0026395401761;2020-06-09
83;821.371056292212;2020-06-10
84;843.0506909415975;2020-06-11
85;865.0421616630632;2020-06-12
86;887.3460709975727;2020-06-13
87;909.9630061341281;2020-06-14
88;932.8935391628008;2020-06-15
89;956.1382274358846;2020-06-16
90;979.697613622221;2020-06-17
91;1003.5722259574258;2020-06-18
92;1027.762578463128;2020-06-19
93;1052.2691712607084;2020-06-20
94;1077.0924907906483;2020-06-21
95;1102.2330098001914;2020-06-22
96;1127.6911876288793;2020-06-23
97;1153.4674703864628;2020-06-24
98;1179.5622911231412;2020-06-25
99;1205.9760699928095;2020-06-26
100;1232.7092148214847;2020-06-27
