;Cases;date
0;2.0;2020-03-12
1;2.7650991917134;2020-03-13
2;3.736532513610666;2020-03-14
3;4.950079260937888;2020-03-15
4;6.444751432710838;2020-03-16
5;8.262851723646042;2020-03-17
6;10.450029173163164;2020-03-18
7;13.055332313704026;2020-03-19
8;16.131260120751055;2020-03-20
9;19.73381106106283;2020-03-21
10;23.922530344056057;2020-03-22
11;28.7605554700028;2020-03-23
12;34.31466057350013;2020-03-24
13;40.655298840298165;2020-03-25
14;47.85664385183417;2020-03-26
15;55.99663002862693;2020-03-27
16;65.15699171265626;2020-03-28
17;75.42330102902886;2020-03-29
18;86.88500492353143;2020-03-30
19;99.63546132882988;2020-03-31
20;113.77197435329883;2020-04-01
21;129.39582869335325;2020-04-02
22;146.61232315385897;2020-04-03
23;165.5308036405155;2020-04-04
24;186.2646952111944;2020-04-05
25;208.93153367572884;2020-04-06
26;233.6529963280676;2020-04-07
27;260.55493230969233;2020-04-08
28;289.7673921539357;2020-04-09
29;321.42465700120147;2020-04-10
30;355.6652670745137;2020-04-11
31;392.6320497862134;2020-04-12
32;432.47214723231144;2020-04-13
33;475.33704324038683;2020-04-14
34;521.3825898450258;2020-04-15
35;570.7690332572976;2020-04-16
36;623.661039134141;2020-04-17
37;680.2277168893133;2020-04-18
38;740.6426442443139;2020-04-19
39;805.0838875950501;2020-04-20
40;873.7340231616179;2020-04-21
41;946.7801574054171;2020-04-22
42;1024.4139288437489;2020-04-23
43;1106.8315292342315;2020-04-24
44;1194.2336947390436;2020-04-25
45;1286.825662970718;2020-04-26
46;1384.8171548725138;2020-04-27
47;1488.4222522353964;2020-04-28
48;1597.8593227801302;2020-04-29
49;1713.350680301573;2020-04-30
50;1835.1222541501143;2020-05-01
51;1963.4030442115238;2020-05-02
52;2098.4242124281973;2020-05-03
53;2240.4176981834257;2020-05-04
54;2389.6143519819084;2020-05-05
55;2546.240932378165;2020-05-06
56;2710.515857263214;2020-05-07
57;2882.643096857425;2020-05-08
58;3062.8030034159046;2020-05-09
59;3251.1398659315714;2020-05-10
60;3447.7438057944796;2020-05-11
61;3652.6258960868286;2020-05-12
62;3865.68401914661;2020-05-13
63;4086.657155062142;2020-05-14
64;4315.065883832279;2020-05-15
65;4550.137913900158;2020-05-16
66;4790.720082850385;2020-05-17
67;5035.182968637678;2020-05-18
68;5281.334089678187;2020-05-19
69;5526.362759942434;2020-05-20
70;5766.855112700768;2020-05-21
71;5998.918962251292;2020-05-22
72;6218.447293476286;2020-05-23
73;6421.512424553676;2020-05-24
74;6604.827867043505;2020-05-25
75;6766.166002547552;2020-05-26
76;6904.609983980354;2020-05-27
77;7020.567862498437;2020-05-28
78;7115.560658936961;2020-05-29
79;7191.870167341077;2020-05-30
80;7252.155601821304;2020-05-31
81;7299.127036797805;2020-06-01
82;7335.317277978106;2020-06-02
83;7362.954241729818;2020-06-03
84;7383.913492468798;2020-06-04
85;7399.723644624523;2020-06-05
86;7411.601010714257;2020-06-06
87;7420.4962216678405;2020-06-07
88;7427.142459328136;2020-06-08
89;7432.099610447527;2020-06-09
