;Cases;date
0;3.0;2020-03-20
1;3.9891708373042944;2020-03-21
2;5.031948731324344;2020-03-22
3;6.121420296477538;2020-03-23
4;7.252463775199437;2020-03-24
5;8.421110852427985;2020-03-25
6;9.624183529651908;2020-03-26
7;10.859071358370704;2020-03-27
8;12.123586529096537;2020-03-28
9;13.415865095101044;2020-03-29
10;14.734297363448208;2020-03-30
11;16.07747717429495;2020-03-31
12;17.44416417877609;2020-04-01
13;18.83325492059961;2020-04-02
14;20.243760459756693;2020-04-03
15;21.67478871073256;2020-04-04
16;23.125530297534297;2020-04-05
17;24.595247084943598;2020-04-06
18;26.083262730490286;2020-04-07
19;27.588955065780393;2020-04-08
20;29.11174937313217;2020-04-09
21;30.65111302932924;2020-04-10
22;32.20655083630128;2020-04-11
23;33.777601008362424;2020-04-12
24;35.36383177629257;2020-04-13
25;36.96483843033313;2020-04-14
26;38.580240736879;2020-04-15
27;40.209680670926396;2020-04-16
28;41.852820415173376;2020-04-17
29;43.50934077645095;2020-04-18
30;45.1789393960927;2020-04-19
31;46.86132955752207;2020-04-20
32;48.55623884276299;2020-04-21
33;50.26340812110574;2020-04-22
34;51.98259049732781;2020-04-23
35;53.713550468478196;2020-04-24
36;55.456063087627335;2020-04-25
37;57.20991325887155;2020-04-26
38;58.9748950600174;2020-04-27
39;60.75081115070012;2020-04-28
40;62.537472217023435;2020-04-29
41;64.33469647050937;2020-04-30
42;66.14230915897035;2020-05-01
43;67.9601421896346;2020-05-02
44;69.78803382135587;2020-05-03
45;71.6258280919713;2020-05-04
46;73.47337459132147;2020-05-05
47;75.33052827241313;2020-05-06
48;77.19714897194879;2020-05-07
49;79.07310123506161;2020-05-08
50;80.95825414646532;2020-05-09
51;82.85248096222945;2020-05-10
52;84.75565896787329;2020-05-11
53;86.66766932719301;2020-05-12
54;88.58839679878967;2020-05-13
55;90.51772961793986;2020-05-14
56;92.45555936306121;2020-05-15
57;94.40178073327992;2020-05-16
58;96.35629144934292;2020-05-17
59;98.31899213710052;2020-05-18
60;100.28978615005288;2020-05-19
61;102.26857948538013;2020-05-20
62;104.25528068003206;2020-05-21
63;106.24980064736727;2020-05-22
64;108.25205264438982;2020-05-23
65;110.26195218858437;2020-05-24
66;112.27941697750178;2020-05-25
67;114.30436668634671;2020-05-26
68;116.3367229157003;2020-05-27
69;118.37640923685731;2020-05-28
70;120.42335107535826;2020-05-29
71;122.47747561528064;2020-05-30
72;124.53871164096363;2020-05-31
73;126.60698963014265;2020-06-01
74;128.6822416566161;2020-06-02
75;130.76440133253513;2020-06-03
76;132.85340367162118;2020-06-04
77;134.94918511939372;2020-06-05
78;137.05168351411552;2020-06-06
79;139.1608380320563;2020-06-07
80;141.2765891059886;2020-06-08
81;143.39887838215498;2020-06-09
82;145.5276487317091;2020-06-10
83;147.6628441940509;2020-06-11
84;149.80440993276972;2020-06-12
85;151.95229216422047;2020-06-13
86;154.10643817854879;2020-06-14
87;156.2667962955276;2020-06-15
88;158.43331583301585;2020-06-16
89;160.60594704736656;2020-06-17
90;162.78464113102962;2020-06-18
91;164.9693501918593;2020-06-19
92;167.1600272229202;2020-06-20
93;169.35662605404426;2020-06-21
94;171.5591013288862;2020-06-22
95;173.76740852262773;2020-06-23
96;175.9815039031813;2020-06-24
97;178.20134451348193;2020-06-25
98;180.42688815532958;2020-06-26
99;182.65809334827512;2020-06-27
100;184.89491921241674;2020-06-28
101;187.1373256109114;2020-06-29
102;189.38527308889772;2020-06-30
103;191.6387228485611;2020-07-01
104;193.89763673563354;2020-07-02
105;196.16197722456343;2020-07-03
106;198.43170732504763;2020-07-04
107;200.70679063708207;2020-07-05
108;202.98719136051753;2020-07-06
109;205.27287425744916;2020-07-07
110;207.56380464075764;2020-07-08
111;209.85994836346148;2020-07-09
112;212.1612717791778;2020-07-10
113;214.46774170812165;2020-07-11
114;216.779325498723;2020-07-12
115;219.09599098556495;2020-07-13
116;221.4177064788104;2020-07-14
117;223.74444075503345;2020-07-15
118;226.0761630426607;2020-07-16
119;228.41284297248396;2020-07-17
120;230.75445062240217;2020-07-18
121;233.10095649867563;2020-07-19
122;235.45233152162453;2020-07-20
123;237.80854701775905;2020-07-21
124;240.1695747121826;2020-07-22
125;242.53538669592635;2020-07-23
126;244.90595543222003;2020-07-24
127;247.28125376598948;2020-07-25
128;249.6612549052411;2020-07-26
129;252.04593241429737;2020-07-27
130;254.43526020738054;2020-07-28
131;256.82921253464633;2020-07-29
132;259.2277639614097;2020-07-30
133;261.6308893914042;2020-07-31
134;264.03856404965063;2020-08-01
135;266.45076347574405;2020-08-02
136;268.86746351829487;2020-08-03
137;271.2886403273095;2020-08-04
138;273.71427032181083;2020-08-05
139;276.14433022150195;2020-08-06
140;278.57879703802047;2020-08-07
141;281.0176480637176;2020-08-08
142;283.460860867233;2020-08-09
143;285.9084132893178;2020-08-10
144;288.36028343890615;2020-08-11
145;290.816449689435;2020-08-12
146;293.27689067537904;2020-08-13
147;295.74158522755766;2020-08-14
148;298.2105124011953;2020-08-15
149;300.68365153367967;2020-08-16
150;303.1609821994119;2020-08-17
151;305.6424842062047;2020-08-18
152;308.1281375918625;2020-08-19
153;310.6179226209438;2020-08-20
154;313.1118197817043;2020-08-21
155;315.6098097832226;2020-08-22
156;318.1118735329116;2020-08-23
157;320.617992097069;2020-08-24
158;323.1281467857242;2020-08-25
159;325.64231911427936;2020-08-26
