;Cases;date
0;1.0;2020-03-05
1;1.812556789032993;2020-03-06
2;3.047259331974113;2020-03-07
3;4.832804873080565;2020-03-08
4;7.316075578676104;2020-03-09
5;10.662371410869495;2020-03-10
6;15.055621778933382;2020-03-11
7;20.6985797953535;2020-03-12
8;27.813002108576022;2020-03-13
9;36.63981600028641;2020-03-14
10;47.4392759556641;2020-03-15
11;60.491110745189545;2020-03-16
12;76.09466219041643;2020-03-17
13;94.56901722702196;2020-03-18
14;116.25313235195463;2020-03-19
15;141.5059529560122;2020-03-20
16;170.70652714976808;2020-03-21
17;204.25411466049917;2020-03-22
18;242.56829109650857;2020-03-23
19;286.08904910199124;2020-03-24
20;335.27689456959996;2020-03-25
21;390.6129403495213;2020-03-26
22;452.5989953008812;2020-03-27
23;521.7576522696011;2020-03-28
24;598.6323726571543;2020-03-29
25;683.7875671662981;2020-03-30
26;777.8086756788107;2020-03-31
27;881.3022437662565;2020-04-01
28;994.8959983652242;2020-04-02
29;1119.2389223901787;2020-04-03
30;1255.0013198589318;2020-04-04
31;1402.8748921729969;2020-04-05
32;1563.5727987420591;2020-04-06
33;1737.8297293612063;2020-04-07
34;1926.4019621950936;2020-04-08
35;2130.06743266926;2020-04-09
36;2349.625788795597;2020-04-10
37;2585.8984571337146;2020-04-11
38;2839.728695922679;2020-04-12
39;3111.981656920657;2020-04-13
40;3403.5444367769655;2020-04-14
41;3715.326144626424;2020-04-15
42;4048.257942456665;2020-04-16
43;4403.293098585835;2020-04-17
44;4781.4070547414485;2020-04-18
45;5183.597458659773;2020-04-19
46;5610.884224564039;2020-04-20
47;6064.3095875388035;2020-04-21
48;6544.938136177093;2020-04-22
49;7053.856875539513;2020-04-23
50;7592.175271259301;2020-04-24
51;8161.025284581565;2020-04-25
52;8761.56143394362;2020-04-26
53;9394.960830899798;2020-04-27
54;10062.423220816949;2020-04-28
55;10765.171038103075;2020-04-29
56;11504.44943322155;2020-04-30
57;12281.526325315852;2020-05-01
58;13097.69245236153;2020-05-02
59;13954.261408675897;2020-05-03
60;14852.569653231942;2020-05-04
61;15793.976583197118;2020-05-05
62;16779.86457612479;2020-05-06
63;17811.63902048197;2020-05-07
64;18890.728328156358;2020-05-08
65;20018.5840082207;2020-05-09
