;Cases;date
0;1.0;2020-03-13
1;1.3676738890406377;2020-03-14
2;1.8517727892666036;2020-03-15
3;2.4836391147260226;2020-03-16
4;3.3016665018691898;2020-03-17
5;4.352594980058197;2020-03-18
6;5.692993480086995;2020-03-19
7;7.390950748191443;2020-03-20
8;9.527996047098158;2020-03-21
9;12.201273614620913;2020-03-22
10;15.52599559015811;2020-03-23
11;19.63820061257724;2020-03-24
12;24.697846450692563;2020-03-25
13;30.89226739006191;2020-03-26
14;38.44002905056015;2020-03-27
15;47.59521380330706;2020-03-28
16;58.65217502879535;2020-03-29
17;71.95079743337314;2020-03-30
18;87.88230480651929;2020-03-31
19;106.89565809413398;2020-04-01
20;129.50458919020312;2020-04-02
21;156.29531834720436;2020-04-03
22;187.9350053541804;2020-04-04
23;225.1809874413672;2020-04-05
24;268.8908593669117;2020-04-06
25;320.03345388764825;2020-04-07
26;379.70078366551746;2020-04-08
27;449.1210082645212;2020-04-09
28;529.6724933789468;2020-04-10
29;622.8990318968142;2020-04-11
30;730.5262996730871;2020-04-12
31;854.479622255149;2020-04-13
32;996.9031319144727;2020-04-14
33;1160.180397570114;2020-04-15
34;1346.956613869785;2020-04-16
35;1560.1624390146635;2020-04-17
36;1803.0395743598322;2020-04-18
37;2079.168182588948;2020-04-19
38;2392.496245941549;2020-04-20
39;2747.3709680787215;2020-04-21
40;3148.5723278559917;2020-04-22
41;3601.348897811379;2020-04-23
42;4111.456043840761;2020-04-24
43;4685.196626899597;2020-04-25
44;5329.464330825503;2020-04-26
45;6051.789746031999;2020-04-27
46;6860.389343441198;2020-04-28
47;7764.217474092063;2020-04-29
48;8773.021542417328;2020-04-30
49;9897.400493880325;2020-05-01
50;11148.866778201718;2020-05-02
51;12539.911933783944;2020-05-03
52;14084.075964276992;2020-05-04
53;15796.020676355278;2020-05-05
54;17691.607137473722;2020-05-06
55;19787.977412371187;2020-05-07
56;22103.62992792535;2020-05-08
57;24655.65187166838;2020-05-09
58;27009.26954763918;2020-05-10
59;27305.312785548227;2020-05-11
60;27307.100239288193;2020-05-12
61;27307.1083172811;2020-05-13
62;27307.1083653152;2020-05-14
63;27307.10835810078;2020-05-15
64;27307.108357206685;2020-05-16
65;27307.108357061963;2020-05-17
66;27307.10835691724;2020-05-18
67;27307.108356772518;2020-05-19
68;27307.108356627796;2020-05-20
69;27307.108356483073;2020-05-21
70;27307.10835640927;2020-05-22
71;27307.10835640517;2020-05-23
72;27307.10835640107;2020-05-24
73;27307.10835639697;2020-05-25
74;27307.108356392866;2020-05-26
75;27307.108356388766;2020-05-27
76;27307.10835638532;2020-05-28
77;27307.108356385306;2020-05-29
78;27307.108356385295;2020-05-30
79;27307.108356385284;2020-05-31
80;27307.10835638527;2020-06-01
81;27307.10835638526;2020-06-02
82;27307.108356385248;2020-06-03
83;27307.108356385237;2020-06-04
84;27307.108356385223;2020-06-05
85;27307.10835638521;2020-06-06
86;27307.1083563852;2020-06-07
87;27307.108356385186;2020-06-08
88;27307.108356385175;2020-06-09
89;27307.108356385164;2020-06-10
90;27307.108356385153;2020-06-11
91;27307.10835638514;2020-06-12
92;27307.108356385128;2020-06-13
93;27307.108356385117;2020-06-14
94;27307.108356385106;2020-06-15
95;27307.10835638509;2020-06-16
96;27307.10835638508;2020-06-17
97;27307.10835638507;2020-06-18
98;27307.108356385055;2020-06-19
99;27307.108356385044;2020-06-20
100;27307.108356385033;2020-06-21
101;27307.108356385022;2020-06-22
102;27307.108356385008;2020-06-23
103;27307.108356384997;2020-06-24
104;27307.108356384986;2020-06-25
105;27307.10835638497;2020-06-26
106;27307.10835638496;2020-06-27
107;27307.10835638495;2020-06-28
108;27307.10835638494;2020-06-29
109;27307.108356384924;2020-06-30
110;27307.108356384913;2020-07-01
111;27307.108356384902;2020-07-02
112;27307.108356384888;2020-07-03
113;27307.108356384877;2020-07-04
114;27307.108356384866;2020-07-05
115;27307.108356384855;2020-07-06
116;27307.10835638484;2020-07-07
117;27307.10835638483;2020-07-08
118;27307.10835638482;2020-07-09
119;27307.108356384808;2020-07-10
120;27307.108356384793;2020-07-11
121;27307.108356384782;2020-07-12
122;27307.10835638477;2020-07-13
123;27307.108356384757;2020-07-14
124;27307.108356384746;2020-07-15
125;27307.108356384735;2020-07-16
126;27307.108356384724;2020-07-17
127;27307.10835638471;2020-07-18
128;27307.1083563847;2020-07-19
129;27307.108356384688;2020-07-20
130;27307.108356384673;2020-07-21
131;27307.108356384662;2020-07-22
132;27307.10835638465;2020-07-23
133;27307.10835638464;2020-07-24
134;27307.108356384626;2020-07-25
135;27307.108356384615;2020-07-26
136;27307.108356384604;2020-07-27
137;27307.10835638459;2020-07-28
138;27307.10835638458;2020-07-29
139;27307.108356384568;2020-07-30
140;27307.108356384564;2020-07-31
141;27307.108356384564;2020-08-01
142;27307.108356384564;2020-08-02
143;27307.108356384564;2020-08-03
144;27307.108356384564;2020-08-04
145;27307.108356384564;2020-08-05
146;27307.108356384564;2020-08-06
147;27307.108356384564;2020-08-07
148;27307.108356384564;2020-08-08
149;27307.108356384564;2020-08-09
150;27307.108356384564;2020-08-10
151;27307.108356384564;2020-08-11
152;27307.108356384564;2020-08-12
153;27307.108356384564;2020-08-13
154;27307.108356384564;2020-08-14
155;27307.108356384564;2020-08-15
156;27307.108356384564;2020-08-16
157;27307.108356384564;2020-08-17
158;27307.108356384564;2020-08-18
159;27307.108356384564;2020-08-19
160;27307.108356384564;2020-08-20
161;27307.108356384564;2020-08-21
162;27307.108356384564;2020-08-22
163;27307.108356384564;2020-08-23
164;27307.108356384564;2020-08-24
165;27307.108356384564;2020-08-25
166;27307.108356384564;2020-08-26
167;27307.108356384564;2020-08-27
168;27307.108356384564;2020-08-28
169;27307.108356384564;2020-08-29
170;27307.108356384564;2020-08-30
171;27307.108356384564;2020-08-31
172;27307.108356384564;2020-09-01
173;27307.108356384564;2020-09-02
174;27307.108356384564;2020-09-03
175;27307.108356384564;2020-09-04
176;27307.108356384564;2020-09-05
177;27307.108356384564;2020-09-06
178;27307.108356384564;2020-09-07
179;27307.108356384564;2020-09-08
180;27307.108356384564;2020-09-09
181;27307.10835638456;2020-09-10
182;27307.10835638456;2020-09-11
183;27307.10835638456;2020-09-12
184;27307.10835638456;2020-09-13
185;27307.10835638456;2020-09-14
186;27307.10835638456;2020-09-15
187;27307.10835638456;2020-09-16
188;27307.10835638456;2020-09-17
189;27307.10835638456;2020-09-18
190;27307.10835638456;2020-09-19
191;27307.10835638456;2020-09-20
192;27307.10835638456;2020-09-21
193;27307.10835638456;2020-09-22
194;27307.10835638456;2020-09-23
195;27307.10835638456;2020-09-24
196;27307.10835638456;2020-09-25
197;27307.10835638456;2020-09-26
198;27307.10835638456;2020-09-27
199;27307.10835638456;2020-09-28
200;27307.10835638456;2020-09-29
201;27307.10835638456;2020-09-30
202;27307.10835638456;2020-10-01
203;27307.10835638456;2020-10-02
204;27307.10835638456;2020-10-03
205;27307.10835638456;2020-10-04
206;27307.10835638456;2020-10-05
207;27307.10835638456;2020-10-06
208;27307.10835638456;2020-10-07
209;27307.10835638456;2020-10-08
210;27307.10835638456;2020-10-09
211;27307.10835638456;2020-10-10
212;27307.10835638456;2020-10-11
213;27307.10835638456;2020-10-12
214;27307.10835638456;2020-10-13
215;27307.10835638456;2020-10-14
216;27307.10835638456;2020-10-15
217;27307.10835638456;2020-10-16
218;27307.10835638456;2020-10-17
219;27307.10835638456;2020-10-18
220;27307.10835638456;2020-10-19
221;27307.10835638456;2020-10-20
222;27307.10835638456;2020-10-21
223;27307.10835638456;2020-10-22
224;27307.10835638456;2020-10-23
225;27307.10835638456;2020-10-24
226;27307.10835638456;2020-10-25
227;27307.10835638456;2020-10-26
228;27307.10835638456;2020-10-27
229;27307.10835638456;2020-10-28
230;27307.10835638456;2020-10-29
231;27307.10835638456;2020-10-30
232;27307.10835638456;2020-10-31
233;27307.10835638456;2020-11-01
234;27307.10835638456;2020-11-02
235;27307.10835638456;2020-11-03
236;27307.10835638456;2020-11-04
237;27307.10835638456;2020-11-05
238;27307.10835638456;2020-11-06
239;27307.10835638456;2020-11-07
240;27307.10835638456;2020-11-08
241;27307.10835638456;2020-11-09
242;27307.10835638456;2020-11-10
243;27307.10835638456;2020-11-11
244;27307.10835638456;2020-11-12
245;27307.10835638456;2020-11-13
246;27307.10835638456;2020-11-14
247;27307.10835638456;2020-11-15
248;27307.10835638456;2020-11-16
249;27307.10835638456;2020-11-17
250;27307.10835638456;2020-11-18
251;27307.10835638456;2020-11-19
252;27307.10835638456;2020-11-20
253;27307.10835638456;2020-11-21
254;27307.10835638456;2020-11-22
255;27307.10835638456;2020-11-23
256;27307.10835638456;2020-11-24
257;27307.10835638456;2020-11-25
258;27307.10835638456;2020-11-26
259;27307.10835638456;2020-11-27
260;27307.10835638456;2020-11-28
261;27307.10835638456;2020-11-29
262;27307.10835638456;2020-11-30
263;27307.10835638456;2020-12-01
264;27307.10835638456;2020-12-02
265;27307.10835638456;2020-12-03
266;27307.10835638456;2020-12-04
