;Cases;date
0;2.0;2020-03-22
1;2.948555434193827;2020-03-23
2;4.121834941150808;2020-03-24
3;5.532871571459946;2020-03-25
4;7.19330140498649;2020-03-26
5;9.11358931895847;2020-03-27
6;11.303201205588108;2020-03-28
7;13.770740102749325;2020-03-29
8;16.524054819808356;2020-03-30
9;19.57032898224605;2020-03-31
10;22.91615470304551;2020-04-01
11;26.56759467456998;2020-04-02
12;30.530234771992053;2020-04-03
13;34.80922918995222;2020-04-04
14;39.409339490728705;2020-04-05
15;44.33496865483899;2020-04-06
16;49.59019091281738;2020-04-07
17;55.17877801824402;2020-04-08
18;61.10422273479354;2020-04-09
19;67.36975975940248;2020-04-10
20;73.97838430934223;2020-04-11
21;80.93286896020238;2020-04-12
22;88.23577889716515;2020-04-13
23;95.8894856699972;2020-04-14
24;103.89617970465775;2020-04-15
25;112.25788180286686;2020-04-16
26;120.97645358316834;2020-04-17
27;130.0536067082002;2020-04-18
28;139.49091251727273;2020-04-19
29;149.2898092581591;2020-04-20
30;159.4516104058636;2020-04-21
31;169.97751090593343;2020-04-22
32;180.86859423210484;2020-04-23
33;192.12583784951295;2020-04-24
34;203.75011925261984;2020-04-25
35;215.7422207658484;2020-04-26
36;228.10283473797097;2020-04-27
37;240.8325677850933;2020-04-28
38;253.93194529787036;2020-04-29
39;267.40141523276384;2020-04-30
40;281.24135213631956;2020-05-01
41;295.4520601619777;2020-05-02
42;310.0337764092849;2020-05-03
43;324.9866750261575;2020-05-04
44;340.3108689960743;2020-05-05
45;356.0064131154118;2020-05-06
46;372.07330741638185;2020-05-07
47;388.51149871152643;2020-05-08
48;405.32088315629767;2020-05-09
49;422.5013090436247;2020-05-10
50;440.05257819596807;2020-05-11
51;457.9744481698694;2020-05-12
52;476.266634564952;2020-05-13
53;494.92881227649093;2020-05-14
54;513.9606173983376;2020-05-15
55;533.3616491420601;2020-05-16
56;553.1314709716809;2020-05-17
57;573.269612251752;2020-05-18
58;593.7755698624298;2020-05-19
59;614.6488092210876;2020-05-20
60;635.8887657945215;2020-05-21
61;657.4948464595492;2020-05-22
62;679.4664302047403;2020-05-23
63;701.802869310601;2020-05-24
64;724.5034905441871;2020-05-25
65;747.5675971736222;2020-05-26
66;770.9944686260931;2020-05-27
67;794.7833616497766;2020-05-28
68;818.9335112533865;2020-05-29
69;843.4441323775833;2020-05-30
70;868.3144200434608;2020-05-31
71;893.5435499646601;2020-06-01
72;919.130679418842;2020-06-02
73;945.0749483889434;2020-06-03
74;971.3754802729906;2020-06-04
75;998.0313820271053;2020-06-05
76;1025.04174500537;2020-06-06
