;Cases;date
0;1.0;2020-03-10
1;2.272314913609142;2020-03-11
2;4.2275534283553995;2020-03-12
3;6.965778680114945;2020-03-13
4;10.577528773836864;2020-03-14
5;15.146104002971878;2020-03-15
6;20.749019353099584;2020-03-16
7;27.458998351505652;2020-03-17
8;35.34468962282234;2020-03-18
9;44.471204411816096;2020-03-19
10;54.900532144143426;2020-03-20
11;66.69187047896422;2020-03-21
12;79.9018922817238;2020-03-22
13;94.58496558469747;2020-03-23
14;110.7933374546947;2020-03-24
15;128.5772895648273;2020-03-25
16;147.98527124803618;2020-03-26
17;169.06401494331357;2020-03-27
18;191.85863654724434;2020-03-28
19;216.41272362628285;2020-03-29
20;242.76841357042397;2020-03-30
21;270.9664631439607;2020-03-31
22;301.04631088516993;2020-04-01
23;333.04613364163794;2020-04-02
24;367.0028959922375;2020-04-03
25;402.95239873290717;2020-04-04
26;440.92931906094265;2020-04-05
27;480.96725129525987;2020-04-06
28;523.0987409615321;2020-04-07
29;567.3553188708481;2020-04-08
30;613.767531220282;2020-04-09
31;662.3649681466642;2020-04-10
32;713.1762905566801;2020-04-11
33;766.2292545177315;2020-04-12
34;821.55073514416;2020-04-13
35;879.1667483504664;2020-04-14
36;939.1024716527877;2020-04-15
37;1001.3822618480187;2020-04-16
38;1066.0296770840089;2020-04-17
39;1133.0674923045271;2020-04-18
40;1202.5177149105202;2020-04-19
41;1274.4016041757568;2020-04-20
42;1348.7396830017128;2020-04-21
43;1425.5517539559628;2020-04-22
44;1504.8569140948516;2020-04-23
45;1586.673566231329;2020-04-24
46;1671.0194339125492;2020-04-25
47;1757.9115728281872;2020-04-26
48;1847.3663823837135;2020-04-27
49;1939.399618642065;2020-04-28
50;2034.0264040677343;2020-04-29
51;2131.261239019352;2020-04-30
52;2231.1180125391575;2020-05-01
53;2333.6100116941248;2020-05-02
54;2438.7499329020443;2020-05-03
55;2546.5498901291194;2020-05-04
56;2657.021423743322;2020-05-05
57;2770.175509614162;2020-05-06
58;2886.022572072228;2020-05-07
59;3004.5724889368344;2020-05-08
60;3125.8345992599366;2020-05-09
61;3249.817712146127;2020-05-10
62;3376.530118159353;2020-05-11
63;3505.9795944491793;2020-05-12
64;3638.173411878333;2020-05-13
65;3773.1183431210616;2020-05-14
66;3910.8206724691986;2020-05-15
67;4051.2862012727464;2020-05-16
68;4194.520254624215;2020-05-17
69;4340.52768879732;2020-05-18
70;4489.312899939637;2020-05-19
71;4640.879829592628;2020-05-20
72;4795.231971005917;2020-05-21
73;4952.372376060866;2020-05-22
74;5112.303663056471;2020-05-23
75;5275.028022248637;2020-05-24
76;5440.547221860923;2020-05-25
77;5608.862614569105;2020-05-26
78;5779.97514462059;2020-05-27
79;5953.885353298569;2020-05-28
80;6130.593384663453;2020-05-29
81;6310.098991704001;2020-05-30
82;6492.401543477068;2020-05-31
83;6677.500029645211;2020-06-01
84;6865.393065883842;2020-06-02
85;7056.078899802935;2020-06-03
86;7249.555416409955;2020-06-04
87;7445.82014351806;2020-06-05
88;7644.87026084734;2020-06-06
89;7846.702603137186;2020-06-07
90;8051.31366328674;2020-06-08
91;8258.699599132071;2020-06-09
92;8468.856238598097;2020-06-10
93;8681.779084772641;2020-06-11
94;8897.463323315713;2020-06-12
95;9115.903827275224;2020-06-13
96;9337.09515914057;2020-06-14
97;9561.031577362523;2020-06-15
98;9787.707041242633;2020-06-16
99;10017.115215758571;2020-06-17
100;10249.249477510002;2020-06-18
101;10484.10292030801;2020-06-19
102;10721.668357240307;2020-06-20
103;10961.938326550051;2020-06-21
104;11204.90509630116;2020-06-22
105;11450.560668964968;2020-06-23
106;11698.896786530817;2020-06-24
107;11949.904936099352;2020-06-25
108;12203.576352250486;2020-06-26
109;12459.902022285914;2020-06-27
110;12718.872690699114;2020-06-28
111;12980.478863534643;2020-06-29
112;13244.71081295696;2020-06-30
113;13511.558582495294;2020-07-01
114;13781.011989827624;2020-07-02
115;14053.06063143199;2020-07-03
116;14327.693886860281;2020-07-04
117;14604.900922876563;2020-07-05
