;Cases;date
0;2.0;2020-03-13
1;4.490857334287099;2020-03-14
2;8.04706589957599;2020-03-15
3;12.697777976558188;2020-03-16
4;18.464198275118434;2020-03-17
5;25.36238663116778;2020-03-18
6;33.40479248579417;2020-03-19
7;42.60119214812864;2020-03-20
8;52.95930453506052;2020-03-21
9;64.48521794078356;2020-03-22
10;77.18369891287419;2020-03-23
11;91.05842262758941;2020-03-24
12;106.11214956718983;2020-03-25
13;122.34686397726138;2020-03-26
14;139.76388411027432;2020-03-27
15;158.36395191546808;2020-03-28
16;178.14730677762776;2020-03-29
17;199.1137467216712;2020-03-30
18;221.2626798438167;2020-03-31
19;244.59316798937277;2020-04-01
20;269.10396410906304;2020-04-02
21;294.7935445551565;2020-04-03
22;321.6601369887508;2020-04-04
23;349.701743845417;2020-04-05
24;378.91616547458085;2020-04-06
25;409.3010175062582;2020-04-07
26;440.8537484052145;2020-04-08
27;473.5716541186323;2020-04-09
28;507.45189113528863;2020-04-10
29;542.4914889411593;2020-04-11
30;578.687360142932;2020-04-12
31;616.036310743844;2020-04-13
32;654.5350484638042;2020-04-14
33;694.1801910217118;2020-04-15
34;734.9682736075791;2020-04-16
35;776.8957547457234;2020-04-17
36;819.9590218574823;2020-04-18
37;864.154399566398;2020-04-19
38;909.4781518930329;2020-04-20
39;955.9264876236597;2020-04-21
40;1003.4955663928239;2020-04-22
41;1052.1815001377659;2020-04-23
42;1101.9803583324726;2020-04-24
43;1152.8881714440392;2020-04-25
44;1204.9009329831197;2020-04-26
45;1258.0146037744432;2020-04-27
46;1312.2251139883665;2020-04-28
47;1367.5283654795937;2020-04-29
48;1423.9202350270482;2020-04-30
49;1481.396575723762;2020-05-01
50;1539.9532193197786;2020-05-02
51;1599.5859785328673;2020-05-03
52;1660.290648249953;2020-05-04
53;1722.0630079849452;2020-05-05
54;1784.8988230296131;2020-05-06
55;1848.793845408341;2020-05-07
56;1913.743815232238;2020-05-08
57;1979.74446326636;2020-05-09
58;2046.79151292233;2020-05-10
59;2114.8806787795925;2020-05-11
60;2184.0076685265853;2020-05-12
61;2254.16818441354;2020-05-13
62;2325.3579258724653;2020-05-14
63;2397.5725879021275;2020-05-15
64;2470.80786254152;2020-05-16
65;2545.059439803616;2020-05-17
66;2620.3230098037857;2020-05-18
67;2696.594262017452;2020-05-19
68;2773.868886027516;2020-05-20
69;2852.1425722818767;2020-05-21
70;2931.411013579663;2020-05-22
71;3011.669905088531;2020-05-23
72;3092.914944535212;2020-05-24
73;3175.1418329027993;2020-05-25
74;3258.346275332661;2020-05-26
75;3342.52398168717;2020-05-27
76;3427.6706663737273;2020-05-28
77;3513.782048987909;2020-05-29
78;3600.853854851489;2020-05-30
79;3688.881815759761;2020-05-31
80;3777.8616697260513;2020-06-01
81;3867.7891614917903;2020-06-02
82;3958.66004294928;2020-06-03
83;4050.470074063587;2020-06-04
84;4143.215022192837;2020-06-05
85;4236.890662539083;2020-06-06
86;4331.492778438159;2020-06-07
87;4427.017161539076;2020-06-08
88;4523.459611957162;2020-06-09
89;4620.81593985638;2020-06-10
90;4719.08196572421;2020-06-11
91;4818.2535183019845;2020-06-12
92;4918.326435876647;2020-06-13
93;5019.296566416303;2020-06-14
94;5121.1597676835745;2020-06-15
95;5223.911907497006;2020-06-16
96;5327.548865631515;2020-06-17
97;5432.066531814903;2020-06-18
98;5537.460806016541;2020-06-19
99;5643.72759889809;2020-06-20
100;5750.862831902141;2020-06-21
101;5858.862437327326;2020-06-22
102;5967.722358943281;2020-06-23
103;6077.438552613466;2020-06-24
104;6188.0069848599105;2020-06-25
105;6299.423633584725;2020-06-26
106;6411.684488158811;2020-06-27
107;6524.785549477926;2020-06-28
108;6638.722830040614;2020-06-29
109;6753.492354809041;2020-06-30
110;6869.090160509805;2020-07-01
111;6985.512295529833;2020-07-02
112;7102.754820197739;2020-07-03
113;7220.813806823095;2020-07-04
114;7339.685339728568;2020-07-05
115;7459.365515456486;2020-07-06
116;7579.8504432316295;2020-07-07
117;7701.136244186482;2020-07-08
118;7823.219051672963;2020-07-09
119;7946.095011319635;2020-07-10
120;8069.760281050988;2020-07-11
121;8194.211031104609;2020-07-12
122;8319.443444406608;2020-07-13
123;8445.453716371214;2020-07-14
124;8572.238054692909;2020-07-15
125;8699.792679518909;2020-07-16
126;8828.113823457534;2020-07-17
127;8957.197731582619;2020-07-18
128;9087.040661552206;2020-07-19
129;9217.638884099593;2020-07-20
130;9348.988682125888;2020-07-21
131;9481.08635097615;2020-07-22
132;9613.928198504083;2020-07-23
133;9747.510545060564;2020-07-24
134;9881.829723478535;2020-07-25
135;10016.88207905426;2020-07-26
136;10152.663969524965;2020-07-27
137;10289.171765042827;2020-07-28
138;10426.401848259498;2020-07-29
139;10564.350616170208;2020-07-30
140;10703.014477687504;2020-07-31
141;10842.38985368949;2020-08-01
142;10982.47317754336;2020-08-02
143;11123.260895083387;2020-08-03
144;11264.749464586397;2020-08-04
145;11406.9353567447;2020-08-05
146;11549.815054636523;2020-08-06
147;11693.3850536939;2020-08-07
148;11837.641861671003;2020-08-08
149;11982.581999814362;2020-08-09
150;12128.202002014286;2020-08-10
151;12274.498413793222;2020-08-11
152;12421.46779302635;2020-08-12
153;12569.10670991426;2020-08-13
154;12717.41174695399;2020-08-14
155;12866.379498908387;2020-08-15
156;13016.006572773817;2020-08-16
157;13166.289587746214;2020-08-17
158;13317.225175185475;2020-08-18
159;13468.809979032949;2020-08-19
160;13621.040656079771;2020-08-20
161;13773.913874620303;2020-08-21
162;13927.42631505759;2020-08-22
163;14081.574669893778;2020-08-23
164;14236.355643697945;2020-08-24
165;14391.765953072832;2020-08-25
166;14547.802326620475;2020-08-26
167;14704.461504906743;2020-08-27
168;14861.740240424786;2020-08-28
169;15019.635297701545;2020-08-29
170;15178.143453793084;2020-08-30
171;15337.261497234771;2020-08-31
172;15496.986228340591;2020-09-01
173;15657.314459242978;2020-09-02
174;15818.24301385857;2020-09-03
175;15979.768727853234;2020-09-04
176;16141.888448606373;2020-09-05
177;16304.599035174519;2020-09-06
178;16467.897358254202;2020-09-07
179;16631.78030017453;2020-09-08
180;16796.2447552893;2020-09-09
181;16961.287629369926;2020-09-10
182;17126.905839609095;2020-09-11
183;17293.096314702445;2020-09-12
184;17459.855994813035;2020-09-13
185;17627.181831535363;2020-09-14
186;17795.070787858887;2020-09-15
187;17963.519838131102;2020-09-16
188;18132.525968020153;2020-09-17
189;18302.086174478172;2020-09-18
190;18472.197465956182;2020-09-19
191;18642.856862176268;2020-09-20
192;18814.061393918793;2020-09-21
193;18985.808103130865;2020-09-22
194;19158.094042890196;2020-09-23
195;19330.91627736867;2020-09-24
196;19504.27188179561;2020-09-25
197;19678.15794242077;2020-09-26
198;19852.57155647703;2020-09-27
199;20027.509832142787;2020-09-28
200;20202.96988871913;2020-09-29
201;20378.948856645442;2020-09-30
202;20555.44387688934;2020-10-01
203;20732.452101224248;2020-10-02
204;20909.970692199535;2020-10-03
205;21087.996823102654;2020-10-04
206;21266.52767792099;2020-10-05
207;21445.56045130347;2020-10-06
208;21625.092348521954;2020-10-07
209;21805.12058543231;2020-10-08
210;21985.642388435317;2020-10-09
211;22166.654994437253;2020-10-10
212;22348.155650810273;2020-10-11
213;22530.14161535252;2020-10-12
214;22712.610156247996;2020-10-13
215;22895.55855202616;2020-10-14
216;23078.98409176306;2020-10-15
217;23262.884076261085;2020-10-16
218;23447.25581563975;2020-10-17
219;23632.096630029493;2020-10-18
220;23817.4038497753;2020-10-19
221;24003.17481539962;2020-10-20
222;24189.40687756521;2020-10-21
223;24376.097397037844;2020-10-22
224;24563.243744648924;2020-10-23
225;24750.843301257948;2020-10-24
226;24938.89345771489;2020-10-25
227;25127.391614822456;2020-10-26
228;25316.335183298226;2020-10-27
229;25505.721583736682;2020-10-28
230;25695.548246571117;2020-10-29
231;25885.812612035435;2020-10-30
232;26076.512130141215;2020-10-31
233;26267.644261597707;2020-11-01
234;26459.20647669305;2020-11-02
235;26651.196254926763;2020-11-03
236;26843.611085460474;2020-11-04
237;27036.448467082573;2020-11-05
238;27229.705908172848;2020-11-06
239;27423.380926667127;2020-11-07
240;27617.471050021883;2020-11-08
241;27811.973815178837;2020-11-09
242;28006.886768529544;2020-11-10
243;28202.207465879965;2020-11-11
244;28397.93347241502;2020-11-12
245;28594.06236266315;2020-11-13
246;28790.591720460812;2020-11-14
247;28987.51913891703;2020-11-15
248;29184.842220377865;2020-11-16
249;29382.558576670253;2020-11-17
250;29580.66582920317;2020-11-18
251;29779.161608080332;2020-11-19
252;29978.04355251466;2020-11-20
253;30177.309310810517;2020-11-21
254;30376.956540330153;2020-11-22
255;30576.982907460224;2020-11-23
256;30777.38608757834;2020-11-24
257;30978.163765019664;2020-11-25
258;31179.313633043548;2020-11-26
259;31380.833393800203;2020-11-27
260;31582.720758297437;2020-11-28
261;31784.973446367403;2020-11-29
262;31987.589186633417;2020-11-30
263;32190.56571647681;2020-12-01
264;32393.900782003817;2020-12-02
265;32597.592138061875;2020-12-03
266;32801.637548505336;2020-12-04
267;33006.03478561186;2020-12-05
268;33210.78163020444;2020-12-06
269;33415.87587168362;2020-12-07
270;33621.315307995814;2020-12-08
271;33827.09774560168;2020-12-09
272;34033.2209994445;2020-12-10
273;34239.68289291877;2020-12-11
274;34446.4812578387;2020-12-12
275;34653.61393440693;2020-12-13
276;34861.07877118325;2020-12-14
277;35068.873625053406;2020-12-15
278;35276.99636119797;2020-12-16
279;35485.444853061315;2020-12-17
280;35694.21698232065;2020-12-18
281;35903.31063885662;2020-12-19
282;36112.723720876485;2020-12-20
283;36322.45413472315;2020-12-21
284;36532.49979477092;2020-12-22
285;36742.85862348215;2020-12-23
286;36953.52855137737;2020-12-24
287;37164.5075170054;2020-12-25
288;37375.793466913645;2020-12-26
289;37587.38435561839;2020-12-27
290;37799.27814557529;2020-12-28
291;38011.47280714983;2020-12-29
292;38223.96631858799;2020-12-30
293;38436.75666598692;2020-12-31
294;38649.84184326576;2021-01-01
295;38863.219852136535;2021-01-02
296;39076.888702075084;2021-01-03
297;39290.84641029221;2021-01-04
298;39505.091001739194;2021-01-05
299;39719.62050910511;2021-01-06
300;39934.432972668386;2021-01-07
301;40149.52644032873;2021-01-08
302;40364.89896758183;2021-01-09
303;40580.5486174912;2021-01-10
304;40796.47346066021;2021-01-11
305;41012.67157520418;2021-01-12
306;41229.141046722536;2021-01-13
307;41445.879968271154;2021-01-14
308;41662.886440334696;2021-01-15
309;41880.15857079915;2021-01-16
310;42097.69447492436;2021-01-17
311;42315.49227531677;2021-01-18
312;42533.55010190217;2021-01-19
313;42751.8660918986;2021-01-20
314;42970.438389796276;2021-01-21
315;43189.265147377955;2021-01-22
316;43408.344523600026;2021-01-23
317;43627.67468459212;2021-01-24
318;43847.25380364282;2021-01-25
319;44067.08006117311;2021-01-26
320;44287.15164471003;2021-01-27
321;44507.46674886038;2021-01-28
322;44728.02357528448;2021-01-29
323;44948.82033267014;2021-01-30
324;45169.85523670659;2021-01-31
325;45391.12651005865;2021-02-01
326;45612.63238234088;2021-02-02
327;45834.37109009191;2021-02-03
328;46056.34087674882;2021-02-04
329;46278.53999262167;2021-02-05
330;46500.96669486807;2021-02-06
331;46723.619247467876;2021-02-07
332;46946.49592119803;2021-02-08
333;47169.5949936074;2021-02-09
334;47392.914748991825;2021-02-10
335;47616.45347836918;2021-02-11
336;47840.20947945458;2021-02-12
337;48064.18105663567;2021-02-13
338;48288.36652094805;2021-02-14
339;48512.76419005072;2021-02-15
340;48737.372388201715;2021-02-16
341;48962.18944623376;2021-02-17
342;49187.21370153008;2021-02-18
343;49412.44349800033;2021-02-19
344;49637.87718605649;2021-02-20
345;49863.51312260333;2021-02-21
346;50089.34967100677;2021-02-22
347;50315.3852010476;2021-02-23
348;50541.618088914234;2021-02-24
349;50768.046717179226;2021-02-25
350;50994.669474775874;2021-02-26
351;51221.48475697491;2021-02-27
352;51448.490965361336;2021-02-28
353;51675.68650781126;2021-03-01
354;51903.06979846895;2021-03-02
355;52130.63925772388;2021-03-03
356;52358.39331218797;2021-03-04
357;52586.330394672856;2021-03-05
358;52814.448944167285;2021-03-06
359;53042.74740581461;2021-03-07
360;53271.224230890395;2021-03-08
361;53499.8778767801;2021-03-09
362;53728.70680695686;2021-03-10
363;53957.709490959416;2021-03-11
364;54186.88440437005;2021-03-12
365;54416.23002879274;2021-03-13
366;54645.744851831296;2021-03-14
367;54875.42736706768;2021-03-15
368;55105.27607404039;2021-03-16
369;55335.28947822296;2021-03-17
370;55565.46609100253;2021-03-18
371;55795.80442965852;2021-03-19
372;56026.30301734149;2021-03-20
373;56256.96038305193;2021-03-21
374;56487.77506161934;2021-03-22
375;56718.74559359295;2021-03-23
376;56949.87052472281;2021-03-24
377;57181.14840695988;2021-03-25
378;57412.577798112135;2021-03-26
379;57644.15726170443;2021-03-27
380;57875.885366957744;2021-03-28
381;58107.76068876857;2021-03-29
382;58339.781807688356;2021-03-30
383;58571.947309903095;2021-03-31
384;58804.255787212984;2021-04-01
385;59036.70583701214;2021-04-02
386;59269.29606226847;2021-04-03
