;Cases;date
0;0.9999999999999999;2020-02-26
1;1.489553813209672;2020-02-27
2;2.1730920382486225;2020-02-28
3;3.1114470581596487;2020-02-29
4;4.380044470392088;2020-03-01
5;6.071439262745362;2020-03-02
6;8.298141429178202;2020-03-03
7;11.195748521056169;2020-03-04
8;14.926402844145485;2020-03-05
9;19.68259101346944;2020-03-06
10;25.691303741106367;2020-03-07
11;33.218574298870315;2020-03-08
12;42.574413343696996;2020-03-09
13;54.1181595712042;2020-03-10
14;68.26426382646787;2020-03-11
15;85.48852606939272;2020-03-12
16;106.3348039482227;2020-03-13
17;131.42221233112892;2020-03-14
18;161.45283152339343;2020-03-15
19;197.21994681030628;2020-03-16
20;239.61683528983983;2020-03-17
21;289.64612151018656;2020-03-18
22;348.42972153062766;2020-03-19
23;417.21939483186014;2020-03-20
24;497.4079252060427;2020-03-21
25;590.5409469233209;2020-03-22
26;698.3294438819198;2020-03-23
27;822.6629347931615;2020-03-24
28;965.6233678638516;2020-03-25
29;1129.4997461735259;2020-03-26
30;1316.8035046186947;2020-03-27
31;1530.2846564983386;2020-03-28
32;1772.9487336064878;2020-03-29
33;2048.074542421058;2020-03-30
34;2359.2327446467457;2020-03-31
35;2710.305311822003;2020-04-01
36;3105.5058363544786;2020-04-02
37;3549.4007640338746;2020-04-03
38;4046.9315270947195;2020-04-04
39;4603.437621940889;2020-04-05
40;5224.680670082867;2020-04-06
41;5916.869438870487;2020-04-07
42;6686.685879881331;2020-04-08
43;7541.312210250122;2020-04-09
44;8488.459031544624;2020-04-10
45;9536.39449292491;2020-04-11
46;10693.974629588427;2020-04-12
47;11970.674732046797;2020-04-13
48;13376.62194122249;2020-04-14
49;14922.628901227836;2020-04-15
50;16620.22873254421;2020-04-16
51;18481.711056973894;2020-04-17
52;20520.159431114305;2020-04-18
53;22749.489847676825;2020-04-19
54;25184.490698538488;2020-04-20
55;27840.863864355833;2020-04-21
56;30735.267285083493;2020-04-22
57;33885.35877287763;2020-04-23
58;37309.84122065447;2020-04-24
59;41028.50911245654;2020-04-25
60;45062.29683184448;2020-04-26
61;49433.32776399156;2020-04-27
62;54164.965566867584;2020-04-28
63;59281.86630097442;2020-04-29
64;64810.03255718568;2020-04-30
65;70776.86883212703;2020-05-01
66;77211.2385046549;2020-05-02
67;84143.52262970479;2020-05-03
68;91605.6798562129;2020-05-04
69;99631.30861919031;2020-05-05
70;108255.71028487112;2020-05-06
71;117515.95463763035;2020-05-07
72;127450.94654002003;2020-05-08
73;138101.49472429906;2020-05-09
74;149510.3820743393;2020-05-10
75;161722.43735529712;2020-05-11
76;174784.61002612754;2020-05-12
77;188746.04542083706;2020-05-13
78;203658.16213198737;2020-05-14
79;219574.73238821398;2020-05-15
80;236551.96255962248;2020-05-16
81;254648.57666957012;2020-05-17
82;273925.90232209826;2020-05-18
83;294447.95692204573;2020-05-19
84;316281.53754710004;2020-05-20
85;339496.3123877345;2020-05-21
86;364164.9132412991;2020-05-22
87;390363.0316497978;2020-05-23
88;418169.51599653217;2020-05-24
89;447666.47045521566;2020-05-25
90;478939.3554518509;2020-05-26
91;512077.09117323573;2020-05-27
92;547172.1574155984;2020-05-28
93;584320.6777700868;2020-05-29
94;623622.5288224074;2020-05-30
95;665181.3293791789;2020-05-31
96;709104.3550858266;2020-06-01
97;755502.1589777322;2020-06-02
98;804487.46971897;2020-06-03
99;856172.4592508211;2020-06-04
100;910662.008802774;2020-06-05
101;968037.9860965693;2020-06-06
102;1028322.8511904406;2020-06-07
103;1091397.5688564805;2020-06-08
104;1156824.7257794086;2020-06-09
105;1223498.97830532;2020-06-10
106;1289081.6469552473;2020-06-11
107;1349496.9132839697;2020-06-12
108;1399532.0832780087;2020-06-13
109;1435482.2934284343;2020-06-14
110;1457743.2605237146;2020-06-15
111;1469955.6224055216;2020-06-16
112;1476143.4226726033;2020-06-17
113;1479141.58687522;2020-06-18
114;1480561.3991568277;2020-06-19
115;1481226.3145043198;2020-06-20
116;1481536.0648893935;2020-06-21
117;1481680.001088497;2020-06-22
118;1481746.81335205;2020-06-23
119;1481777.8074463534;2020-06-24
120;1481792.1820498873;2020-06-25
121;1481798.8479460704;2020-06-26
122;1481801.9387682618;2020-06-27
123;1481803.373156605;2020-06-28
124;1481804.0364693142;2020-06-29
125;1481804.3442481998;2020-06-30
126;1481804.4862838686;2020-07-01
127;1481804.5547043548;2020-07-02
128;1481804.585301309;2020-07-03
129;1481804.5991209298;2020-07-04
130;1481804.6052536694;2020-07-05
131;1481804.6083032403;2020-07-06
132;1481804.6097736298;2020-07-07
133;1481804.6105535517;2020-07-08
134;1481804.611281499;2020-07-09
135;1481804.6116851813;2020-07-10
136;1481804.6117645986;2020-07-11
137;1481804.6115839435;2020-07-12
138;1481804.6116562234;2020-07-13
139;1481804.6116444187;2020-07-14
140;1481804.6115485292;2020-07-15
141;1481804.6113859762;2020-07-16
142;1481804.611331153;2020-07-17
143;1481804.6112763297;2020-07-18
144;1481804.6112215065;2020-07-19
145;1481804.6111666833;2020-07-20
146;1481804.6111624616;2020-07-21
147;1481804.61116077;2020-07-22
148;1481804.6111590785;2020-07-23
149;1481804.6111573873;2020-07-24
150;1481804.6111556957;2020-07-25
151;1481804.6111540042;2020-07-26
152;1481804.611152313;2020-07-27
153;1481804.6111506214;2020-07-28
154;1481804.61114893;2020-07-29
155;1481804.6111472386;2020-07-30
156;1481804.6111455471;2020-07-31
157;1481804.6111438556;2020-08-01
158;1481804.6111421643;2020-08-02
159;1481804.6111404728;2020-08-03
160;1481804.6111387813;2020-08-04
161;1481804.61113709;2020-08-05
162;1481804.6111353985;2020-08-06
163;1481804.611133707;2020-08-07
164;1481804.6111320157;2020-08-08
165;1481804.6111303242;2020-08-09
166;1481804.6111286327;2020-08-10
167;1481804.6111269412;2020-08-11
168;1481804.6111252499;2020-08-12
169;1481804.6111235584;2020-08-13
170;1481804.6111218669;2020-08-14
171;1481804.6111201756;2020-08-15
172;1481804.611118484;2020-08-16
173;1481804.6111167925;2020-08-17
174;1481804.6111151013;2020-08-18
175;1481804.6111134097;2020-08-19
176;1481804.6111117182;2020-08-20
177;1481804.611110027;2020-08-21
178;1481804.6111083354;2020-08-22
179;1481804.611106644;2020-08-23
180;1481804.6111049526;2020-08-24
181;1481804.6111032611;2020-08-25
182;1481804.6111015696;2020-08-26
183;1481804.6110998783;2020-08-27
184;1481804.6110981868;2020-08-28
185;1481804.6110964953;2020-08-29
186;1481804.611094935;2020-08-30
187;1481804.611094883;2020-08-31
188;1481804.6110948308;2020-09-01
189;1481804.6110947786;2020-09-02
190;1481804.6110947265;2020-09-03
191;1481804.6110946743;2020-09-04
192;1481804.6110946222;2020-09-05
193;1481804.6110945698;2020-09-06
194;1481804.6110945176;2020-09-07
195;1481804.6110944655;2020-09-08
196;1481804.6110944133;2020-09-09
197;1481804.6110943612;2020-09-10
198;1481804.611094309;2020-09-11
199;1481804.6110942569;2020-09-12
200;1481804.6110942047;2020-09-13
201;1481804.6110941526;2020-09-14
202;1481804.6110941004;2020-09-15
203;1481804.6110940482;2020-09-16
204;1481804.6110939959;2020-09-17
205;1481804.6110939437;2020-09-18
206;1481804.6110938916;2020-09-19
207;1481804.6110938394;2020-09-20
208;1481804.6110937872;2020-09-21
209;1481804.611093735;2020-09-22
210;1481804.611093683;2020-09-23
211;1481804.6110936308;2020-09-24
212;1481804.6110935786;2020-09-25
213;1481804.6110935265;2020-09-26
214;1481804.6110934743;2020-09-27
215;1481804.6110934222;2020-09-28
216;1481804.6110933698;2020-09-29
217;1481804.6110933176;2020-09-30
218;1481804.6110932655;2020-10-01
219;1481804.6110932133;2020-10-02
220;1481804.6110931612;2020-10-03
221;1481804.611093109;2020-10-04
222;1481804.6110930569;2020-10-05
223;1481804.6110930047;2020-10-06
224;1481804.6110929525;2020-10-07
225;1481804.6110929004;2020-10-08
226;1481804.6110928482;2020-10-09
227;1481804.6110928068;2020-10-10
228;1481804.6110928066;2020-10-11
229;1481804.6110928066;2020-10-12
230;1481804.6110928063;2020-10-13
231;1481804.611092806;2020-10-14
232;1481804.6110928059;2020-10-15
233;1481804.6110928059;2020-10-16
234;1481804.6110928056;2020-10-17
235;1481804.6110928054;2020-10-18
236;1481804.6110928054;2020-10-19
